model_id,benchmark,topology,intervention,temperature,seed,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
qwen3_8b,MUSE-News,debate,full_inference,0.7,42,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,42,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,42,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,42,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,42,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,42,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
qwen3_8b,MUSE-News,debate,full_inference,0.7,43,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
