run_id,block,model_id,benchmark,unit_id,topology,intervention,probe_id,probe_kind,variant_id,trace_index,step,agent_id,is_target,exact,token_f1,semantic,accumulated_semantic,positive,filtered_segment_count,context_target_count,memory_target_count
TSWEEP_70,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:forget01:indirect:00014,indirect,v0,0,sequential:1,1,0,0.0,0.5797101449275363,0.6230559945106506,0.6230559945106506,1,0,1,1
TSWEEP_70,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:forget01:indirect:00014,indirect,v0,1,sequential:2,2,1,0.0,0.6285714285714286,0.680336058139801,0.6842697858810425,1,0,0,0
TSWEEP_70,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:retain99:retain:02509,retain,v0,0,sequential:1,1,0,0.0,0.7234042553191489,0.8061496019363403,0.8061496019363403,1,0,1,1
TSWEEP_70,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:retain99:retain:02509,retain,v0,1,sequential:2,2,1,0.0,0.7234042553191489,0.8061496019363403,0.8061496019363403,1,0,0,0
TSWEEP_80,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:forget01:direct:00008,direct,v0,0,sequential:1,1,0,0.0,0.7912087912087912,0.9026709198951721,0.9026709198951721,1,0,1,1
TSWEEP_80,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:forget01:direct:00008,direct,v0,1,sequential:2,2,1,0.0,0.5,0.6411393880844116,0.854387104511261,1,1,0,0
TSWEEP_80,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:forget01:indirect:00014,indirect,v0,0,sequential:1,1,0,0.0,0.5797101449275363,0.6230559945106506,0.6230559945106506,1,0,1,1
TSWEEP_80,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:forget01:indirect:00014,indirect,v0,1,sequential:2,2,1,0.0,0.6285714285714286,0.680336058139801,0.6842697858810425,1,0,0,0
TSWEEP_80,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:retain99:retain:02509,retain,v0,0,sequential:1,1,0,0.0,0.7234042553191489,0.8061496019363403,0.8061496019363403,1,0,1,1
TSWEEP_80,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,full_inference,TOFU:retain99:retain:02509,retain,v0,1,sequential:2,2,1,0.0,0.7234042553191489,0.8061496019363403,0.8061496019363403,1,0,0,0
TSWEEP_OPEN,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,target_context_memory,TOFU:forget01:direct:00008,direct,v0,0,sequential:1,1,0,0.0,0.7912087912087912,0.9026709198951721,0.9026709198951721,1,0,1,1
TSWEEP_OPEN,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,target_context_memory,TOFU:forget01:direct:00008,direct,v0,1,sequential:2,2,1,0.0,0.6444444444444444,0.809039831161499,0.8915343880653381,1,0,0,0
TSWEEP_OPEN,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,target_context_memory,TOFU:forget01:indirect:00014,indirect,v0,0,sequential:1,1,0,0.0,0.5797101449275363,0.6230559945106506,0.6230559945106506,1,0,1,1
TSWEEP_OPEN,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,target_context_memory,TOFU:forget01:indirect:00014,indirect,v0,1,sequential:2,2,1,0.0,0.6285714285714286,0.680336058139801,0.6842697858810425,1,0,0,0
TSWEEP_OPEN,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,target_context_memory,TOFU:retain99:retain:02509,retain,v0,0,sequential:1,1,0,0.0,0.7234042553191489,0.8061496019363403,0.8061496019363403,1,0,1,1
TSWEEP_OPEN,threshold_smoke,qwen3_4b,TOFU,tofu_forget01,sequential,target_context_memory,TOFU:retain99:retain:02509,retain,v0,1,sequential:2,2,1,0.0,0.7234042553191489,0.8061496019363403,0.8061496019363403,1,0,0,0
