model_id,topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
mistral_7b,debate,communication,drr_target,15,0.2533333333333333,0.4373077809027587,0.11291238350688708,0.0,0.0,0.4,0.0,1.0,0.032025061659834625,0.47464160500683195
mistral_7b,debate,communication,irr_target,13,0.16923076923076924,0.31460190554788275,0.08725486937012078,0.0,0.0,0.2,0.0,1.0,-0.0017887747346674865,0.34025031319620597
mistral_7b,debate,communication,retention_target,15,0.18666666666666665,0.3888934240098375,0.10041185030931202,0.0,0.0,0.0,0.0,1.0,-0.010140559939584903,0.3834738932729182
mistral_7b,debate,communication,drr_system,15,0.22666666666666666,0.4131182235954578,0.10666666666666666,0.0,0.0,0.2,0.0,1.0,0.017600000000000005,0.4357333333333333
mistral_7b,debate,communication,irr_system,13,0.26153846153846155,0.40319238902055504,0.1118254486531104,0.0,0.0,0.4,0.0,1.0,0.042360582178365164,0.48071634089855797
mistral_7b,debate,communication,retention_system,15,0.2,0.3854496446637727,0.09952267030562387,0.0,0.0,0.1,0.0,1.0,0.004935566200977237,0.3950644337990228
mistral_7b,debate,communication,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
mistral_7b,debate,full_inference,drr_target,17,0.011764705882352941,0.04850712500726659,0.01176470588235294,0.0,0.0,0.0,0.0,0.2,-0.011294117647058819,0.0348235294117647
mistral_7b,debate,full_inference,irr_target,13,0.07692307692307693,0.2773500981126146,0.07692307692307693,0.0,0.0,0.0,0.0,1.0,-0.07384615384615384,0.2276923076923077
mistral_7b,debate,full_inference,retention_target,15,0.17333333333333334,0.3692979181920099,0.09535231246311489,0.0,0.0,0.0,0.0,1.0,-0.013557199094371836,0.3602238657610385
mistral_7b,debate,full_inference,drr_system,17,0.23529411764705882,0.40146789484121304,0.0973702668073344,0.0,0.0,0.4,0.0,1.0,0.0444483947046834,0.4261398405894342
mistral_7b,debate,full_inference,irr_system,13,0.12307692307692308,0.289118909083691,0.08018715780057378,0.0,0.0,0.0,0.0,1.0,-0.03408990621220154,0.2802437523660477
mistral_7b,debate,full_inference,retention_system,15,0.24000000000000002,0.37947331922020555,0.09797958971132713,0.0,0.0,0.5,0.0,1.0,0.04796000416579885,0.43203999583420116
mistral_7b,debate,full_inference,n_scored_probes,17,13.235294117647058,3.509441048171095,0.85116447814634,15.0,15.0,15.0,5.0,15.0,11.567011740480233,14.903576494813883
mistral_7b,debate,global_context,drr_target,15,0.02666666666666667,0.10327955589886445,0.026666666666666665,0.0,0.0,0.0,0.0,0.4,-0.025599999999999994,0.07893333333333333
mistral_7b,debate,global_context,irr_target,13,0.12307692307692308,0.20878156908535675,0.057905588669929314,0.0,0.0,0.2,0.0,0.6,0.009581969283861624,0.23657187686998454
mistral_7b,debate,global_context,retention_target,15,0.16000000000000003,0.322490309931942,0.08326663997864531,0.0,0.0,0.1,0.0,1.0,-0.0032026143581447564,0.3232026143581448
mistral_7b,debate,global_context,drr_system,15,0.02666666666666667,0.10327955589886445,0.026666666666666665,0.0,0.0,0.0,0.0,0.4,-0.025599999999999994,0.07893333333333333
mistral_7b,debate,global_context,irr_system,13,0.12307692307692308,0.20878156908535675,0.057905588669929314,0.0,0.0,0.2,0.0,0.6,0.009581969283861624,0.23657187686998454
mistral_7b,debate,global_context,retention_system,15,0.16000000000000003,0.322490309931942,0.08326663997864531,0.0,0.0,0.1,0.0,1.0,-0.0032026143581447564,0.3232026143581448
mistral_7b,debate,global_context,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
mistral_7b,debate,none,drr_target,17,0.19999999999999998,0.39370039370059057,0.09548637106322311,0.0,0.0,0.0,0.0,1.0,0.012846712716082703,0.3871532872839173
mistral_7b,debate,none,irr_target,13,0.18461538461538465,0.369337591385248,0.1024358172073753,0.0,0.0,0.2,0.0,1.0,-0.016158817111070922,0.38538958634184023
mistral_7b,debate,none,retention_target,15,0.18666666666666665,0.3888934240098375,0.10041185030931202,0.0,0.0,0.0,0.0,1.0,-0.010140559939584903,0.3834738932729182
mistral_7b,debate,none,drr_system,17,0.19999999999999998,0.39370039370059057,0.09548637106322311,0.0,0.0,0.0,0.0,1.0,0.012846712716082703,0.3871532872839173
mistral_7b,debate,none,irr_system,13,0.18461538461538465,0.369337591385248,0.1024358172073753,0.0,0.0,0.2,0.0,1.0,-0.016158817111070922,0.38538958634184023
mistral_7b,debate,none,retention_system,15,0.18666666666666665,0.3888934240098375,0.10041185030931202,0.0,0.0,0.0,0.0,1.0,-0.010140559939584903,0.3834738932729182
mistral_7b,debate,none,n_scored_probes,17,13.235294117647058,3.509441048171095,0.85116447814634,15.0,15.0,15.0,5.0,15.0,11.567011740480233,14.903576494813883
mistral_7b,debate,target_context,drr_target,15,0.22666666666666666,0.3692979181920098,0.09535231246311486,0.0,0.0,0.4,0.0,1.0,0.039776134238961536,0.4135571990943718
mistral_7b,debate,target_context,irr_target,13,0.16923076923076924,0.37279264876652135,0.10339407771105616,0.0,0.0,0.0,0.0,1.0,-0.033421623082900836,0.37188316154443934
mistral_7b,debate,target_context,retention_target,15,0.18666666666666665,0.38889342400983745,0.100411850309312,0.0,0.0,0.0,0.0,1.0,-0.010140559939584876,0.38347389327291814
mistral_7b,debate,target_context,drr_system,15,0.24000000000000002,0.3942443042436649,0.10179344164485628,0.0,0.0,0.4,0.0,1.0,0.04048485437608171,0.43951514562391836
mistral_7b,debate,target_context,irr_system,13,0.15384615384615385,0.31784530990033655,0.08815442788549273,0.0,0.0,0.0,0.0,1.0,-0.01893652480941188,0.3266288325017196
mistral_7b,debate,target_context,retention_system,15,0.17333333333333334,0.3534860406754148,0.09126970324351193,0.0,0.0,0.1,0.0,1.0,-0.0055552850239500295,0.3522219516906167
mistral_7b,debate,target_context,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
mistral_7b,debate,target_context_comm,drr_target,15,0.04,0.15491933384829665,0.039999999999999994,0.0,0.0,0.0,0.0,0.6,-0.03839999999999998,0.11839999999999998
