metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
drr_target,3721,0.2631013168503091,0.404352599113145,0.006628731133002377,0.0,0.0,0.4,0.0,1.0,0.2501090038296244,0.27609362987099373
irr_target,3125,0.264832,0.3990485791252998,0.007138397993990991,0.0,0.0,0.6,0.0,1.0,0.2508407399317777,0.27882326006822233
retention_target,3685,0.47696065128900955,0.4511578659448584,0.007432069933857046,0.4,0.0,1.0,0.0,1.0,0.46239379421864973,0.49152750835936937
drr_system,3721,0.36280569739317386,0.4447218257406664,0.007290521733453547,0.0,0.0,1.0,0.0,1.0,0.34851627479560493,0.3770951199907428
irr_system,3125,0.321344,0.42732618468542,0.0076442431801778295,0.0,0.0,0.8,0.0,1.0,0.3063612833668515,0.33632671663314856
retention_system,3685,0.4456987788331072,0.45859635893089634,0.007554606642729359,0.2,0.0,1.0,0.0,1.0,0.43089174981335765,0.4605058078528568
n_scored_probes,3721,14.150765923138941,2.002446106098165,0.03282698534587156,15.0,15.0,15.0,5.0,15.0,14.086425031861033,14.215106814416849
