unit_id,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
muse_books,drr_target,177,0.6406779661016949,0.45792962095761525,0.03442009806976325,1.0,0.0,1.0,0.0,1.0,0.573214573884959,0.7081413583184308
muse_books,retention_target,177,0.08135593220338984,0.21251302869513014,0.015973457391754577,0.0,0.0,0.0,0.0,1.0,0.05004795571555087,0.1126639086912288
muse_books,drr_system,177,0.7581920903954802,0.38884021511621986,0.02922702032198722,1.0,0.6,1.0,0.0,1.0,0.7009071305643853,0.8154770502265751
muse_books,retention_system,177,0.04745762711864407,0.1705831564110467,0.012821815196054855,0.0,0.0,0.0,0.0,1.0,0.022326869334376553,0.07258838490291158
muse_books,n_scored_probes,177,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
muse_news,drr_target,383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muse_news,retention_target,383,0.0349869451697128,0.10195953070911855,0.00520988864497239,0.0,0.0,0.0,0.0,0.6,0.024775563425566915,0.04519832691385868
muse_news,drr_system,383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muse_news,retention_system,383,0.06527415143603134,0.1767074238663288,0.009029327564384083,0.0,0.0,0.0,0.0,0.8,0.04757666940983854,0.08297163346222414
muse_news,n_scored_probes,383,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
rwku_001,drr_target,383,0.11018276762402089,0.23216648209652083,0.011863153060880798,0.0,0.0,0.2,0.0,1.0,0.08693098762469453,0.13343454762334725
rwku_001,irr_target,383,0.0036553524804177544,0.0394624384510269,0.002016436409220741,0.0,0.0,0.0,0.0,0.6,-0.00029686288165489813,0.007607567842490406
rwku_001,retention_target,383,0.09190600522193212,0.20949270949208482,0.010704577402391889,0.0,0.0,0.0,0.0,1.0,0.07092503351324403,0.11288697693062022
rwku_001,drr_system,383,0.12323759791122717,0.23791846781229917,0.012157065801144097,0.0,0.0,0.2,0.0,1.0,0.09940974894098474,0.1470654468814696
rwku_001,irr_system,383,0.003655352480417755,0.03671321240005366,0.0018759575203340269,0.0,0.0,0.0,0.0,0.4,-2.152425943693784e-05,0.007332229220272447
rwku_001,retention_system,383,0.05117493472584857,0.1678082556937765,0.008574601312807354,0.0,0.0,0.0,0.0,1.0,0.03436871615274616,0.06798115329895098
rwku_001,n_scored_probes,383,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
