parameter_method,model_id,benchmark,intervention,topology,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,independent,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,independent,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,independent,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,independent,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,independent,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,independent,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,independent,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,independent,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,scratchpad,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,scratchpad,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,scratchpad,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,scratchpad,retention_system,1,0.8,,,0.8,0.8,0.8,0.8,0.8,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,scratchpad,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,scratchpad,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,scratchpad,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,scratchpad,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,scratchpad,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,sequential,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,sequential,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,sequential,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,sequential,retention_system,1,0.2,,,0.2,0.2,0.2,0.2,0.2,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,sequential,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
gradient_ascent,qwen3_4b,MUSE-News,parameter_plus_comm,sequential,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
