run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,target_id,target_name,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,status,raw_complete
AU003012,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,scratchpad,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003013,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,scratchpad,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003014,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,hierarchical,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003015,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,hierarchical,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003016,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,independent,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003017,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,independent,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003018,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,sequential,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003019,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,sequential,parameter_plus_comm,lora_grad_diff,0.4,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003020,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,debate,parameter_only,lora_grad_diff,0.8,1.0,1.0,0.8,1.0,0.8,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003021,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,debate,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,0.8,1.0,0.8,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003022,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,scratchpad,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003023,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,scratchpad,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003024,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,hierarchical,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003025,parameter_unlearning,qwen3_4b,TOFU,tofu_forget05,hierarchical,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003026,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,independent,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003027,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,independent,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003028,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,sequential,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003029,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,sequential,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003030,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,debate,parameter_only,gradient_ascent,1.0,1.0,0.2,1.0,1.0,0.2,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003031,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,debate,parameter_plus_comm,gradient_ascent,1.0,1.0,0.2,1.0,1.0,0.2,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003032,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,scratchpad,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003033,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,scratchpad,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003034,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,hierarchical,parameter_only,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003035,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,hierarchical,parameter_plus_comm,gradient_ascent,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003036,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,independent,parameter_only,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU003037,parameter_unlearning,qwen3_4b,TOFU,tofu_forget10,independent,parameter_plus_comm,lora_grad_diff,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
