run_id,block,model_id,benchmark,unit_id,topology,intervention,probe_id,probe_kind,variant_id,trace_index,step,agent_id,is_target,exact,token_f1,semantic,accumulated_semantic,positive,filtered_segment_count,context_target_count,memory_target_count
CSMOKE01,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,none,TOFU:forget01:direct:00008,direct,v0,0,independent,1,0,0.0,0.7912087912087912,0.9026709198951721,0.9026709198951721,1,0,1,1
CSMOKE01,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,none,TOFU:forget01:direct:00008,direct,v0,1,independent,2,1,0.0,0.7912087912087912,0.9026709198951721,0.9026709198951721,1,0,1,1
CSMOKE01,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,none,TOFU:forget01:indirect:00014,indirect,v0,0,independent,1,0,0.0,0.6,0.6551384329795837,0.6551384329795837,1,0,1,1
CSMOKE01,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,none,TOFU:forget01:indirect:00014,indirect,v0,1,independent,2,1,0.0,0.6,0.6551384329795837,0.6551384329795837,1,0,1,1
CSMOKE01,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,none,TOFU:retain99:retain:02509,retain,v0,0,independent,1,0,0.0,0.7234042553191489,0.8061496019363403,0.8061496019363403,1,0,1,1
CSMOKE01,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,none,TOFU:retain99:retain:02509,retain,v0,1,independent,2,1,0.0,0.7234042553191489,0.8061496019363403,0.8061496019363403,1,0,1,1
CSMOKE02,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,target_context_memory,TOFU:forget01:direct:00008,direct,v0,0,independent,1,0,0.0,0.7912087912087912,0.9026709198951721,0.9026709198951721,1,0,1,1
CSMOKE02,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,target_context_memory,TOFU:forget01:direct:00008,direct,v0,1,independent,2,1,0.0,0.31111111111111106,0.5057805180549622,0.5057805180549622,0,0,0,0
CSMOKE02,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,target_context_memory,TOFU:forget01:indirect:00014,indirect,v0,0,independent,1,0,0.0,0.6,0.6551384329795837,0.6551384329795837,1,0,1,1
CSMOKE02,causal_smoke,qwen3_4b,TOFU,tofu_forget01,independent,target_context_memory,TOFU:forget01:indirect:00014,indirect,v0,1,independent,2,1,0.0,0.3714285714285714,0.3863562345504761,0.3863562345504761,0,0,0,0
