content_f1_threshold,semantic_threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,distance_from_old
0.07,0.23,0.9269406392694064,0.9045977011494253,0.9647058823529412,0.9425287356321839,0.9534883720930233,0.7845340309598786,0.1258
0.06,0.23,0.9269406392694064,0.9045977011494253,0.9647058823529412,0.9425287356321839,0.9534883720930233,0.7845340309598786,0.1305
0.05,0.23,0.9269406392694064,0.9045977011494253,0.9647058823529412,0.9425287356321839,0.9534883720930233,0.7845340309598786,0.13540000000000002
0.04,0.23,0.9269406392694064,0.9045977011494253,0.9647058823529412,0.9425287356321839,0.9534883720930233,0.7845340309598786,0.1405
0.03,0.23,0.9269406392694064,0.9045977011494253,0.9647058823529412,0.9425287356321839,0.9534883720930233,0.7845340309598786,0.1458
0.02,0.23,0.9269406392694064,0.9045977011494253,0.9647058823529412,0.9425287356321839,0.9534883720930233,0.7845340309598786,0.1513
0.01,0.23,0.9269406392694064,0.9045977011494253,0.9647058823529412,0.9425287356321839,0.9534883720930233,0.7845340309598786,0.157
0.11,0.15,0.9269406392694064,0.9045977011494253,0.9647058823529412,0.9425287356321839,0.9534883720930233,0.7845340309598786,0.1586
0.1,0.15,0.9269406392694064,0.9045977011494253,0.9647058823529412,0.9425287356321839,0.9534883720930233,0.7845340309598786,0.16249999999999998
0.07,0.24,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1205
0.06,0.24,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1252
0.05,0.24,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1301
0.11,0.19,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1322
0.04,0.24,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.13520000000000001
0.1,0.19,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1361
0.11,0.18,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1385
0.09,0.19,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1402
0.03,0.24,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1405
0.1,0.18,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1424
0.08,0.19,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1445
0.11,0.17,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.14499999999999996
0.02,0.24,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.146
0.09,0.18,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1465
0.1,0.17,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.14889999999999998
0.08,0.18,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1508
0.11,0.16,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.15169999999999997
0.01,0.24,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.1517
0.09,0.17,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.15299999999999997
0.12,0.15,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.15489999999999998
0.1,0.16,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.15559999999999996
0.08,0.17,0.9223744292237442,0.9017241379310346,0.9644970414201184,0.9367816091954023,0.9504373177842566,0.7734111870883466,0.15729999999999997
0.11,0.23,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.10900000000000001
0.1,0.23,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.1129
0.11,0.22,0.9178082191780822,0.8988505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.7625729044229351,0.11450000000000002
