content_f1_threshold,semantic_threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,distance_from_old
0.18,0.18,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.1168
0.17,0.18,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.1193
0.16,0.18,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.122
0.18,0.17,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.12329999999999997
0.15,0.18,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.12490000000000001
0.17,0.17,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.12579999999999997
0.14,0.18,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.128
0.16,0.17,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.12849999999999998
0.15,0.17,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.13139999999999996
0.14,0.17,0.9425837320574163,0.9444444444444444,0.9877300613496932,0.9415204678362573,0.9640718562874252,0.8274935418354862,0.13449999999999995
0.05,0.17,0.9569377990430622,0.9429824561403508,0.9821428571428571,0.9649122807017544,0.9734513274336283,0.8605176979461336,0.17139999999999997
0.04,0.17,0.9569377990430622,0.9429824561403508,0.9821428571428571,0.9649122807017544,0.9734513274336283,0.8605176979461336,0.1765
0.03,0.17,0.9569377990430622,0.9429824561403508,0.9821428571428571,0.9649122807017544,0.9734513274336283,0.8605176979461336,0.18179999999999996
0.02,0.17,0.9569377990430622,0.9429824561403508,0.9821428571428571,0.9649122807017544,0.9734513274336283,0.8605176979461336,0.18729999999999997
0.01,0.17,0.9569377990430622,0.9429824561403508,0.9821428571428571,0.9649122807017544,0.9734513274336283,0.8605176979461336,0.19299999999999995
0.18,0.2,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.10439999999999999
0.17,0.2,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.1069
0.23,0.18,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.1073
0.22,0.18,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.10880000000000001
0.16,0.2,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.10959999999999999
0.18,0.19,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.1105
0.21,0.18,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.1105
0.2,0.18,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.1124
0.15,0.2,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.11249999999999999
0.17,0.19,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.113
0.23,0.17,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.11379999999999997
0.19,0.18,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.1145
0.22,0.17,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.11529999999999997
0.14,0.2,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.11559999999999998
0.16,0.19,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.1157
0.21,0.17,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.11699999999999997
0.15,0.19,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.11860000000000001
0.2,0.17,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.11889999999999996
0.19,0.17,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.12099999999999997
0.14,0.19,0.937799043062201,0.9415204678362572,0.9876543209876543,0.935672514619883,0.960960960960961,0.8157634709697066,0.1217
0.05,0.18,0.9521531100478469,0.9400584795321637,0.9820359281437125,0.9590643274853801,0.9704142011834319,0.8471247339829621,0.1649
0.04,0.18,0.9521531100478469,0.9400584795321637,0.9820359281437125,0.9590643274853801,0.9704142011834319,0.8471247339829621,0.17
0.03,0.18,0.9521531100478469,0.9400584795321637,0.9820359281437125,0.9590643274853801,0.9704142011834319,0.8471247339829621,0.1753
0.02,0.18,0.9521531100478469,0.9400584795321637,0.9820359281437125,0.9590643274853801,0.9704142011834319,0.8471247339829621,0.1808
0.01,0.18,0.9521531100478469,0.9400584795321637,0.9820359281437125,0.9590643274853801,0.9704142011834319,0.8471247339829621,0.1865
0.23,0.2,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.0949
0.22,0.2,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.0964
0.21,0.2,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.09809999999999999
0.2,0.2,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.09999999999999999
0.23,0.19,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.101
0.19,0.2,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.1021
0.22,0.19,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.10250000000000001
0.21,0.19,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.1042
0.2,0.19,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.1061
0.19,0.19,0.9330143540669856,0.9385964912280702,0.9875776397515528,0.9298245614035088,0.9578313253012049,0.8043618151097337,0.1082
0.05,0.2,0.9473684210526315,0.9371345029239766,0.9819277108433735,0.9532163742690059,0.9673590504451038,0.834154820648531,0.1525
0.04,0.2,0.9473684210526315,0.9371345029239766,0.9819277108433735,0.9532163742690059,0.9673590504451038,0.834154820648531,0.15760000000000002
0.05,0.19,0.9473684210526315,0.9371345029239766,0.9819277108433735,0.9532163742690059,0.9673590504451038,0.834154820648531,0.15860000000000002
0.03,0.2,0.9473684210526315,0.9371345029239766,0.9819277108433735,0.9532163742690059,0.9673590504451038,0.834154820648531,0.1629
