benchmark,topology,intervention,metric,n,positive,rate,wilson95_low,wilson95_high
TOFU,sequential,target_context_comm,system_positive_content,315,300,0.9523809523809523,0.9229276559539686,0.9709331200551844
TOFU,sequential,target_context_memory,target_exact,1170,10,0.008547008547008548,0.004649074379447507,0.015661672828693695
TOFU,sequential,target_context_memory,target_positive,1170,954,0.8153846153846154,0.7921328974043738,0.8365720317785756
TOFU,sequential,target_context_memory,system_exact,1170,22,0.018803418803418803,0.01244976770695659,0.028306668255101662
TOFU,sequential,target_context_memory,system_positive,1170,991,0.847008547008547,0.8252481765231466,0.8664976263177137
TOFU,sequential,target_context_memory,target_positive_content,1170,976,0.8341880341880342,0.811790192761186,0.8543984991372781
TOFU,sequential,target_context_memory,system_positive_content,1170,1006,0.8598290598290599,0.8387562488634062,0.8785466649198506
TOFU,sequential,target_memory,target_exact,135,14,0.1037037037037037,0.06278392452983501,0.16655368033787032
TOFU,sequential,target_memory,target_positive,135,125,0.9259259259259259,0.869012114873532,0.9592698985864109
TOFU,sequential,target_memory,system_exact,135,12,0.08888888888888889,0.05157885461025679,0.14894894109362447
TOFU,sequential,target_memory,system_positive,135,125,0.9259259259259259,0.869012114873532,0.9592698985864109
TOFU,sequential,target_memory,target_positive_content,135,126,0.9333333333333333,0.8781534131281653,0.9645335049136897
TOFU,sequential,target_memory,system_positive_content,135,124,0.9185185185185185,0.859982177478421,0.9538949313996098
TOFU,sequential,target_memory_comm,target_exact,135,22,0.16296296296296298,0.11015006965726473,0.2344267718657371
TOFU,sequential,target_memory_comm,target_positive,135,124,0.9185185185185185,0.859982177478421,0.9538949313996098
TOFU,sequential,target_memory_comm,system_exact,135,12,0.08888888888888889,0.05157885461025679,0.14894894109362447
TOFU,sequential,target_memory_comm,system_positive,135,123,0.9111111111111111,0.8510510589063756,0.9484211453897433
TOFU,sequential,target_memory_comm,target_positive_content,135,125,0.9259259259259259,0.869012114873532,0.9592698985864109
TOFU,sequential,target_memory_comm,system_positive_content,135,128,0.9481481481481482,0.8968375764662608,0.9746591507394182
WMDP,debate,full_inference,target_exact,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,debate,full_inference,target_positive,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,debate,full_inference,system_exact,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,debate,full_inference,system_positive,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,debate,full_inference,target_positive_content,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,debate,full_inference,system_positive_content,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,debate,none,target_exact,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
