training_id,step,forget_loss,retain_loss,objective
TR0001,0,4.711349964141846,,-4.711349964141846
TR0001,1,4.737072467803955,,-4.737072467803955
TR0001,2,3.7926111221313477,,-3.7926111221313477
TR0001,3,3.664092540740967,,-3.664092540740967
TR0001,4,2.7932326793670654,,-2.7932326793670654
TR0001,5,3.8624632358551025,,-3.8624632358551025
TR0001,6,5.4989013671875,,-5.4989013671875
TR0001,7,4.965356349945068,,-4.965356349945068
TR0001,8,4.067023277282715,,-4.067023277282715
TR0001,9,2.9271085262298584,,-2.9271085262298584
TR0001,10,2.8885324001312256,,-2.8885324001312256
TR0001,11,4.275166988372803,,-4.275166988372803
TR0001,12,4.526828289031982,,-4.526828289031982
TR0001,13,4.308347225189209,,-4.308347225189209
TR0001,14,2.857125997543335,,-2.857125997543335
TR0001,15,4.061956405639648,,-4.061956405639648
TR0001,16,4.6899261474609375,,-4.6899261474609375
TR0001,17,4.665295124053955,,-4.665295124053955
TR0001,18,2.9452264308929443,,-2.9452264308929443
TR0001,19,3.984679937362671,,-3.984679937362671
TR0001,20,4.479322910308838,,-4.479322910308838
TR0001,21,3.640955686569214,,-3.640955686569214
TR0001,22,2.6371896266937256,,-2.6371896266937256
TR0001,23,4.881663799285889,,-4.881663799285889
TR0001,24,4.965359687805176,,-4.965359687805176
TR0001,25,4.681827068328857,,-4.681827068328857
TR0001,26,3.4666614532470703,,-3.4666614532470703
TR0001,27,2.878471612930298,,-2.878471612930298
TR0001,28,2.8963983058929443,,-2.8963983058929443
TR0001,29,4.667415142059326,,-4.667415142059326
TR0001,30,5.446870803833008,,-5.446870803833008
TR0001,31,2.9449453353881836,,-2.9449453353881836
TR0001,32,4.72069787979126,,-4.72069787979126
TR0001,33,4.733512878417969,,-4.733512878417969
TR0001,34,3.7896502017974854,,-3.7896502017974854
TR0001,35,3.629542350769043,,-3.629542350769043
TR0001,36,2.799992084503174,,-2.799992084503174
TR0001,37,3.887314796447754,,-3.887314796447754
TR0001,38,5.507207870483398,,-5.507207870483398
TR0001,39,4.934335708618164,,-4.934335708618164
TR0001,40,4.0490217208862305,,-4.0490217208862305
TR0001,41,2.928741693496704,,-2.928741693496704
TR0001,42,2.8732125759124756,,-2.8732125759124756
TR0001,43,4.2825775146484375,,-4.2825775146484375
TR0001,44,4.541003227233887,,-4.541003227233887
TR0001,45,4.270233154296875,,-4.270233154296875
TR0001,46,2.8834264278411865,,-2.8834264278411865
TR0001,47,4.064181327819824,,-4.064181327819824
TR0001,48,4.672909736633301,,-4.672909736633301
TR0001,49,4.64505672454834,,-4.64505672454834
TR0001,50,2.936732292175293,,-2.936732292175293
TR0001,51,3.981311798095703,,-3.981311798095703
TR0001,52,4.500176906585693,,-4.500176906585693
TR0001,53,3.6492621898651123,,-3.6492621898651123
TR0001,54,2.5948736667633057,,-2.5948736667633057
TR0001,55,4.872973918914795,,-4.872973918914795
TR0001,56,4.965452194213867,,-4.965452194213867
TR0001,57,4.684113025665283,,-4.684113025665283
TR0001,58,3.472496271133423,,-3.472496271133423
TR0001,59,2.9011871814727783,,-2.9011871814727783
TR0001,60,2.897716999053955,,-2.897716999053955
TR0001,61,4.677705764770508,,-4.677705764770508
TR0001,62,5.493321418762207,,-5.493321418762207
TR0001,63,2.951355218887329,,-2.951355218887329
TR0001,64,4.710177421569824,,-4.710177421569824
TR0001,65,4.711146831512451,,-4.711146831512451
TR0001,66,3.8016350269317627,,-3.8016350269317627
TR0001,67,3.6453540325164795,,-3.6453540325164795
TR0001,68,2.7811310291290283,,-2.7811310291290283
TR0001,69,3.9065563678741455,,-3.9065563678741455
TR0001,70,5.48842191696167,,-5.48842191696167
TR0001,71,4.952591896057129,,-4.952591896057129
TR0001,72,4.043827056884766,,-4.043827056884766
TR0001,73,2.916881799697876,,-2.916881799697876
TR0001,74,2.8841965198516846,,-2.8841965198516846
TR0001,75,4.273993968963623,,-4.273993968963623
TR0001,76,4.544015884399414,,-4.544015884399414
TR0001,77,4.285999298095703,,-4.285999298095703
TR0001,78,2.908515691757202,,-2.908515691757202
TR0001,79,4.045429229736328,,-4.045429229736328
TR0002,0,4.711349964141846,4.242981433868408,-0.4683685302734375
TR0002,1,4.7771196365356445,5.346035480499268,0.568915843963623
TR0002,2,3.773463726043701,3.91213321685791,0.13866949081420898
TR0002,3,3.6445553302764893,7.183508396148682,3.5389530658721924
TR0002,4,2.8098292350769043,3.6174633502960205,0.8076341152191162
TR0002,5,3.8847925662994385,5.253695964813232,1.368903398513794
TR0002,6,5.552000045776367,5.602920055389404,0.05092000961303711
TR0002,7,4.979080677032471,5.99865198135376,1.019571304321289
TR0002,8,4.0871381759643555,5.748813152313232,1.661674976348877
TR0002,9,2.9226315021514893,4.207863807678223,1.2852323055267334
TR0002,10,2.9031283855438232,4.7075934410095215,1.8044650554656982
TR0002,11,4.2991557121276855,5.955918312072754,1.6567625999450684
TR0002,12,4.413585662841797,2.7130212783813477,-1.7005643844604492
TR0002,13,4.300935745239258,4.079415798187256,-0.22151994705200195
TR0002,14,2.8450381755828857,6.047524452209473,3.202486276626587
TR0002,15,4.147397518157959,4.72498083114624,0.5775833129882812
TR0002,16,4.675202369689941,5.663441181182861,0.9882388114929199
TR0002,17,4.666778564453125,6.2500319480896,1.5832533836364746
TR0002,18,3.0806894302368164,4.185724258422852,1.1050348281860352
TR0002,19,3.9662959575653076,4.562088489532471,0.5957925319671631
TR0002,20,4.463922500610352,3.755845308303833,-0.7080771923065186
TR0002,21,3.777261734008789,4.677576541900635,0.9003148078918457
TR0002,22,2.6012279987335205,4.023359298706055,1.4221312999725342
TR0002,23,4.89117431640625,3.1171724796295166,-1.7740018367767334
TR0002,24,5.015616416931152,4.518430233001709,-0.49718618392944336
TR0002,25,4.7023468017578125,4.2615203857421875,-0.440826416015625
TR0002,26,3.3077776432037354,4.641233921051025,1.33345627784729
TR0002,27,2.9003424644470215,5.911892414093018,3.011549949645996
TR0002,28,2.899096965789795,3.639634132385254,0.740537166595459
TR0002,29,4.680230617523193,4.41870641708374,-0.2615242004394531
TR0002,30,5.716210842132568,3.6629860401153564,-2.053224802017212
TR0002,31,3.377558708190918,2.377675771713257,-0.9998829364776611
TR0002,32,5.47053337097168,3.7341651916503906,-1.736368179321289
TR0002,33,5.586767196655273,4.825999736785889,-0.7607674598693848
TR0002,34,3.910914182662964,3.0471620559692383,-0.8637521266937256
TR0002,35,3.9934298992156982,6.120242118835449,2.126812219619751
TR0002,36,3.500049352645874,3.413625478744507,-0.08642387390136719
TR0002,37,4.070855617523193,5.005002498626709,0.9341468811035156
TR0002,38,6.224012851715088,4.781187057495117,-1.4428257942199707
TR0002,39,5.3455376625061035,5.900284767150879,0.5547471046447754
TR0002,40,5.0548319816589355,5.176764488220215,0.1219325065612793
TR0002,41,3.0087087154388428,3.6319634914398193,0.6232547760009766
TR0002,42,3.07503080368042,4.699490547180176,1.6244597434997559
TR0002,43,4.9564948081970215,5.404369354248047,0.4478745460510254
TR0002,44,4.413106441497803,2.8760745525360107,-1.537031888961792
TR0002,45,5.078911781311035,4.223709583282471,-0.8552021980285645
TR0002,46,3.2597532272338867,5.2845025062561035,2.024749279022217
TR0002,47,5.464198112487793,4.322199821472168,-1.141998291015625
TR0002,48,5.285930156707764,5.109755039215088,-0.17617511749267578
TR0002,49,5.3605451583862305,4.658370018005371,-0.7021751403808594
TR0002,50,4.3215227127075195,3.296377658843994,-1.0251450538635254
TR0002,51,5.253519535064697,4.218515872955322,-1.035003662109375
TR0002,52,5.62866735458374,3.544847011566162,-2.083820343017578
TR0002,53,4.957897663116455,4.02895975112915,-0.9289379119873047
TR0002,54,3.5612692832946777,4.093760967254639,0.5324916839599609
TR0002,55,6.671675205230713,2.806929588317871,-3.864745616912842
TR0002,56,6.644767761230469,5.145274639129639,-1.49949312210083
TR0002,57,6.445766925811768,3.8025970458984375,-2.64316987991333
TR0002,58,3.5945193767547607,6.0960187911987305,2.5014994144439697
TR0002,59,4.106314659118652,5.68982458114624,1.583509922027588
TR0002,60,4.002700328826904,2.9297356605529785,-1.0729646682739258
TR0002,61,7.1626362800598145,4.372799396514893,-2.789836883544922
TR0002,62,8.66471004486084,3.857165575027466,-4.807544708251953
TR0002,63,5.451992988586426,2.946723222732544,-2.505269765853882
TR0002,64,8.272520065307617,4.048702716827393,-4.223817348480225
TR0002,65,8.621177673339844,5.630165100097656,-2.9910125732421875
TR0002,66,6.210090637207031,2.913206100463867,-3.296884536743164
TR0002,67,6.319428443908691,5.183840751647949,-1.1355876922607422
TR0002,68,5.334070682525635,4.319352626800537,-1.0147180557250977
TR0002,69,5.837301254272461,4.893087387084961,-0.9442138671875
TR0002,70,10.538227081298828,4.967192649841309,-5.5710344314575195
TR0002,71,8.430216789245605,6.609687805175781,-1.8205289840698242
TR0002,72,8.333937644958496,5.212654113769531,-3.121283531188965
TR0002,73,4.354107856750488,3.1385130882263184,-1.21559476852417
TR0002,74,4.272936820983887,4.490375995635986,0.2174391746520996
TR0002,75,7.048585891723633,5.204787731170654,-1.8437981605529785
TR0002,76,5.352052211761475,3.523947238922119,-1.8281049728393555
TR0002,77,7.348186492919922,2.9457051753997803,-4.4024810791015625
TR0002,78,4.447843074798584,5.041452407836914,0.5936093330383301
TR0002,79,9.378800392150879,4.002252578735352,-5.376547813415527
TR0003,0,5.056789875030518,,-5.056789875030518
TR0003,1,4.372731685638428,,-4.372731685638428
TR0003,2,5.938974380493164,,-5.938974380493164
TR0003,3,6.342161178588867,,-6.342161178588867
TR0003,4,5.2109150886535645,,-5.2109150886535645
TR0003,5,5.363367557525635,,-5.363367557525635
TR0003,6,3.085388660430908,,-3.085388660430908
TR0003,7,4.501356601715088,,-4.501356601715088
TR0003,8,3.6269938945770264,,-3.6269938945770264
TR0003,9,6.63857889175415,,-6.63857889175415
TR0003,10,4.25246000289917,,-4.25246000289917
TR0003,11,2.9206502437591553,,-2.9206502437591553
TR0003,12,5.380420684814453,,-5.380420684814453
TR0003,13,6.71694803237915,,-6.71694803237915
TR0003,14,3.889216423034668,,-3.889216423034668
TR0003,15,4.426600933074951,,-4.426600933074951
TR0003,16,4.50665807723999,,-4.50665807723999
TR0003,17,5.259628772735596,,-5.259628772735596
TR0003,18,2.566585063934326,,-2.566585063934326
TR0003,19,5.230900764465332,,-5.230900764465332
TR0003,20,6.543886184692383,,-6.543886184692383
TR0003,21,3.9731216430664062,,-3.9731216430664062
TR0003,22,4.761630058288574,,-4.761630058288574
TR0003,23,3.9689462184906006,,-3.9689462184906006
TR0003,24,7.903258323669434,,-7.903258323669434
TR0003,25,5.716973781585693,,-5.716973781585693
TR0003,26,6.542494773864746,,-6.542494773864746
TR0003,27,3.549278736114502,,-3.549278736114502
TR0003,28,2.70926570892334,,-2.70926570892334
TR0003,29,4.986471652984619,,-4.986471652984619
TR0003,30,5.651866912841797,,-5.651866912841797
TR0003,31,5.46336030960083,,-5.46336030960083
TR0003,32,5.086332321166992,,-5.086332321166992
TR0003,33,4.3426127433776855,,-4.3426127433776855
TR0003,34,5.901862144470215,,-5.901862144470215
TR0003,35,6.377163410186768,,-6.377163410186768
TR0003,36,5.151987552642822,,-5.151987552642822
TR0003,37,5.3400349617004395,,-5.3400349617004395
TR0003,38,3.0537667274475098,,-3.0537667274475098
TR0003,39,4.508246898651123,,-4.508246898651123
TR0003,40,3.638737678527832,,-3.638737678527832
TR0003,41,6.638650894165039,,-6.638650894165039
TR0003,42,4.267494201660156,,-4.267494201660156
TR0003,43,2.922525405883789,,-2.922525405883789
TR0003,44,5.356222629547119,,-5.356222629547119
TR0003,45,6.6801557540893555,,-6.6801557540893555
TR0003,46,3.8875668048858643,,-3.8875668048858643
TR0003,47,4.495347023010254,,-4.495347023010254
TR0003,48,4.521566390991211,,-4.521566390991211
TR0003,49,5.264579772949219,,-5.264579772949219
TR0003,50,2.593970537185669,,-2.593970537185669
TR0003,51,5.306633949279785,,-5.306633949279785
TR0003,52,6.541806221008301,,-6.541806221008301
TR0003,53,3.959282159805298,,-3.959282159805298
TR0003,54,4.7789626121521,,-4.7789626121521
TR0003,55,3.954669952392578,,-3.954669952392578
TR0003,56,7.8786139488220215,,-7.8786139488220215
TR0003,57,5.678478717803955,,-5.678478717803955
TR0003,58,6.578473091125488,,-6.578473091125488
TR0003,59,3.533308267593384,,-3.533308267593384
TR0003,60,2.6909902095794678,,-2.6909902095794678
TR0003,61,4.965094089508057,,-4.965094089508057
TR0003,62,5.641532897949219,,-5.641532897949219
TR0003,63,5.488967418670654,,-5.488967418670654
TR0003,64,5.080245018005371,,-5.080245018005371
TR0003,65,4.35245418548584,,-4.35245418548584
TR0003,66,5.930666446685791,,-5.930666446685791
TR0003,67,6.339290142059326,,-6.339290142059326
TR0003,68,5.1833415031433105,,-5.1833415031433105
TR0003,69,5.333094120025635,,-5.333094120025635
TR0003,70,3.060946464538574,,-3.060946464538574
TR0003,71,4.486438751220703,,-4.486438751220703
TR0003,72,3.6268975734710693,,-3.6268975734710693
TR0003,73,6.600765228271484,,-6.600765228271484
TR0003,74,4.251693248748779,,-4.251693248748779
TR0003,75,2.912156581878662,,-2.912156581878662
TR0003,76,5.351018905639648,,-5.351018905639648
TR0003,77,6.6757049560546875,,-6.6757049560546875
TR0003,78,3.8950936794281006,,-3.8950936794281006
TR0003,79,4.506008625030518,,-4.506008625030518
TR0004,0,5.056789875030518,2.569636106491089,-2.4871537685394287
TR0004,1,4.386210918426514,6.348959922790527,1.9627490043640137
TR0004,2,5.871514320373535,5.287680625915527,-0.5838336944580078
TR0004,3,6.3901777267456055,5.365545272827148,-1.024632453918457
TR0004,4,5.13247013092041,3.721517562866211,-1.4109525680541992
TR0004,5,5.353097438812256,4.519174575805664,-0.8339228630065918
TR0004,6,3.12845778465271,5.145833969116211,2.017376184463501
TR0004,7,4.556201457977295,3.4758012294769287,-1.0804002285003662
TR0004,8,3.6817383766174316,4.278110027313232,0.5963716506958008
TR0004,9,6.763771057128906,3.6635701656341553,-3.100200891494751
TR0004,10,4.388115406036377,2.503932476043701,-1.8841829299926758
TR0004,11,2.870894193649292,4.385867595672607,1.5149734020233154
TR0004,12,5.393550395965576,4.590213298797607,-0.8033370971679688
