method,model_id,benchmark,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
gradient_ascent,qwen3_4b,MUSE-News,forget_loss_first,1,11.854347229003906,,,11.854347229003906,11.854347229003906,11.854347229003906,11.854347229003906,11.854347229003906,,
gradient_ascent,qwen3_4b,MUSE-News,forget_loss_last,1,9.877739906311035,,,9.877739906311035,9.877739906311035,9.877739906311035,9.877739906311035,9.877739906311035,,
gradient_ascent,qwen3_4b,MUSE-News,objective_first,1,-11.854347229003906,,,-11.854347229003906,-11.854347229003906,-11.854347229003906,-11.854347229003906,-11.854347229003906,,
gradient_ascent,qwen3_4b,MUSE-News,objective_last,1,-9.877739906311035,,,-9.877739906311035,-9.877739906311035,-9.877739906311035,-9.877739906311035,-9.877739906311035,,
gradient_ascent,qwen3_4b,MUSE-News,size_mib,1,2253.8266258239746,,,2253.8266258239746,2253.8266258239746,2253.8266258239746,2253.8266258239746,2253.8266258239746,,
gradient_ascent,qwen3_4b,RWKU,forget_loss_first,1,10.838905334472656,,,10.838905334472656,10.838905334472656,10.838905334472656,10.838905334472656,10.838905334472656,,
gradient_ascent,qwen3_4b,RWKU,forget_loss_last,1,11.110588073730469,,,11.110588073730469,11.110588073730469,11.110588073730469,11.110588073730469,11.110588073730469,,
gradient_ascent,qwen3_4b,RWKU,objective_first,1,-10.838905334472656,,,-10.838905334472656,-10.838905334472656,-10.838905334472656,-10.838905334472656,-10.838905334472656,,
gradient_ascent,qwen3_4b,RWKU,objective_last,1,-11.110588073730469,,,-11.110588073730469,-11.110588073730469,-11.110588073730469,-11.110588073730469,-11.110588073730469,,
gradient_ascent,qwen3_4b,RWKU,size_mib,1,2253.826636314392,,,2253.826636314392,2253.826636314392,2253.826636314392,2253.826636314392,2253.826636314392,,
gradient_ascent,qwen3_4b,TOFU,forget_loss_first,3,5.36790148417155,0.8556349289715025,0.4940010565697433,5.056789875030518,4.884069919586182,5.696177244186401,4.711349964141846,6.335564613342285,4.399659413294853,6.336143555048246
gradient_ascent,qwen3_4b,TOFU,forget_loss_last,3,4.8838958740234375,1.0782722013088828,0.6225407456853739,4.506008625030518,4.275718927383423,5.303129196166992,4.045429229736328,6.100249767303467,3.663716012480105,6.10407573556677
gradient_ascent,qwen3_4b,TOFU,objective_first,3,-5.36790148417155,0.8556349289715025,0.4940010565697433,-5.056789875030518,-5.696177244186401,-4.884069919586182,-6.335564613342285,-4.711349964141846,-6.336143555048246,-4.399659413294853
gradient_ascent,qwen3_4b,TOFU,objective_last,3,-4.8838958740234375,1.0782722013088828,0.6225407456853739,-4.506008625030518,-5.303129196166992,-4.275718927383423,-6.100249767303467,-4.045429229736328,-6.10407573556677,-3.663716012480105
