model_id,model_params_b,n_runs,total_hours,mean_seconds,median_seconds,p90_seconds,p95_seconds,mean_sec_per_probe,median_sec_per_probe
mistral_7b,7.0,693,42.03875,218.38311688311688,141.5,549.4400000000004,594.38,16.153049543049544,9.74
qwen25coder_14b,14.0,135,6.581833333333333,175.51555555555555,114.8,328.12000000000006,366.61999999999995,12.87804938271605,7.66
qwen25coder_1p5b,1.5,135,7.477638888888889,199.4037037037037,108.7,474.0,537.15,14.162716049382716,8.06
qwen25coder_7b,7.0,135,6.401777777777777,170.7140740740741,119.5,364.76000000000005,399.66999999999996,12.398493827160493,8.226666666666667
qwen3_14b,14.0,225,9.051444444444444,144.8231111111111,96.0,319.62,378.4,10.544,6.4
qwen3_4b,4.0,775,46.53541666666667,216.16451612903225,142.5,530.6800000000001,653.02,15.899264516129033,9.753333333333334
qwen3_8b,8.0,1623,97.97838888888889,217.32729513247074,150.6,496.2,545.19,16.00098582871226,10.8
