topology,n_runs,total_hours,mean_seconds,median_seconds,p90_seconds,p95_seconds,mean_sec_per_probe,median_sec_per_probe
debate,847,110.36233333333334,469.07249114521846,472.0,639.42,754.6199999999999,34.53867375049193,32.76
hierarchical,590,21.22613888888889,129.51542372881357,125.6,178.07000000000002,199.355,9.438655367231638,8.556666666666668
independent,737,23.384333333333334,114.2246947082768,107.1,163.18,180.95999999999995,8.53083672546359,7.213333333333334
scratchpad,817,34.53552777777778,152.17613219094247,138.6,252.66,278.21999999999997,11.162170542635659,9.54
sequential,730,26.556916666666666,130.96561643835616,128.9,187.38000000000002,207.65499999999997,9.523986301369863,8.743333333333332
