parameter_method,n_runs,total_hours,mean_seconds,median_seconds,p90_seconds,p95_seconds,mean_sec_per_probe,median_sec_per_probe
gradient_ascent,100,6.00925,216.333,160.15,477.8700000000002,579.23,15.907333333333334,11.046666666666667
lora_grad_diff,100,6.742138888888889,242.717,177.0,551.3000000000002,615.145,17.720666666666666,13.078333333333333
none,3521,203.31386111111112,207.87557512070435,141.7,491.7,559.9,15.285286376976238,10.093333333333334
