run_id,timing_field,n_values,sum,mean,median,max
AU000001,elapsed_sec,1,117.23587965965271,117.23587965965271,117.23587965965271,117.23587965965271
AU000001,model_metadata.load_seconds,1,4.6307761669158936,4.6307761669158936,4.6307761669158936,4.6307761669158936
AU000002,elapsed_sec,1,133.64408087730408,133.64408087730408,133.64408087730408,133.64408087730408
AU000002,model_metadata.load_seconds,1,4.6307761669158936,4.6307761669158936,4.6307761669158936,4.6307761669158936
AU000003,elapsed_sec,1,121.80360651016235,121.80360651016235,121.80360651016235,121.80360651016235
AU000003,model_metadata.load_seconds,1,4.6307761669158936,4.6307761669158936,4.6307761669158936,4.6307761669158936
AU000004,elapsed_sec,1,177.5105791091919,177.5105791091919,177.5105791091919,177.5105791091919
AU000004,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000005,elapsed_sec,1,176.99607491493225,176.99607491493225,176.99607491493225,176.99607491493225
AU000005,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000006,elapsed_sec,1,181.63554525375366,181.63554525375366,181.63554525375366,181.63554525375366
AU000006,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000007,elapsed_sec,1,181.67890119552612,181.67890119552612,181.67890119552612,181.67890119552612
AU000007,model_metadata.load_seconds,1,5.313097238540649,5.313097238540649,5.313097238540649,5.313097238540649
AU000008,elapsed_sec,1,178.0083348751068,178.0083348751068,178.0083348751068,178.0083348751068
AU000008,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000009,elapsed_sec,1,182.354177236557,182.354177236557,182.354177236557,182.354177236557
AU000009,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000010,elapsed_sec,1,208.7568085193634,208.7568085193634,208.7568085193634,208.7568085193634
AU000010,model_metadata.load_seconds,1,5.388803243637085,5.388803243637085,5.388803243637085,5.388803243637085
AU000011,elapsed_sec,1,207.7093949317932,207.7093949317932,207.7093949317932,207.7093949317932
AU000011,model_metadata.load_seconds,1,5.43707799911499,5.43707799911499,5.43707799911499,5.43707799911499
AU000012,elapsed_sec,1,203.3760540485382,203.3760540485382,203.3760540485382,203.3760540485382
