contrast,A,B,n_pairs,mean_delta_seconds,median_delta_seconds,mean_ratio,median_ratio,p90_ratio
local_suppression,none,target_context_memory,447,-5.991722595078299,-8.099999999999994,0.9570530276031156,0.9280303030303031,1.1013519583183615
communication_defense,target_context_memory,full_inference,832,1.4143028846153842,0.10000000000000497,1.012828066560968,1.0010093493336156,1.068899339520107
total_defense,none,full_inference,447,-3.491946308724832,-6.799999999999997,0.976615316682897,0.9421172886519421,1.1318959280694503
