model_id,intervention,n_runs,total_hours,mean_seconds,median_seconds,p90_seconds,p95_seconds,mean_sec_per_probe,median_sec_per_probe
mistral_7b,communication,75,4.759555555555556,228.4586666666667,149.3,558.34,612.4599999999999,16.380399999999998,10.346666666666666
mistral_7b,full_inference,81,4.89075,217.36666666666667,139.5,560.0,590.4,17.25650205761317,9.673333333333334
mistral_7b,global_context,75,4.207388888888889,201.95466666666667,128.7,498.8600000000003,533.1899999999999,14.541733333333335,8.58
mistral_7b,none,81,4.9447222222222225,219.76543209876544,149.5,532.8,597.1,17.252510288065846,10.84
mistral_7b,target_context,75,4.640416666666667,222.74,140.4,571.44,590.0,15.982755555555556,9.479999999999999
mistral_7b,target_context_comm,75,4.768555555555555,228.89066666666665,143.0,584.2800000000001,623.6899999999999,16.379822222222224,9.533333333333333
mistral_7b,target_context_memory,81,4.663972222222222,207.28765432098766,140.1,531.2,563.4,15.898641975308642,9.646666666666667
mistral_7b,target_memory,75,4.531166666666667,217.496,146.9,523.1000000000001,562.8599999999999,15.596311111111111,9.826666666666666
mistral_7b,target_memory_comm,75,4.6322222222222225,222.34666666666666,141.4,538.58,580.5,15.93288888888889,9.773333333333333
qwen25coder_14b,full_inference,45,2.1729166666666666,173.83333333333334,114.8,321.88,360.65999999999997,12.739703703703704,7.653333333333333
qwen25coder_14b,none,45,2.2658055555555556,181.26444444444445,128.3,332.62,370.3799999999999,13.325777777777777,8.753333333333334
qwen25coder_14b,target_context_memory,45,2.143111111111111,171.4488888888889,114.5,319.8,358.75999999999993,12.568666666666667,7.64
qwen25coder_1p5b,full_inference,45,2.5581111111111112,204.6488888888889,111.4,474.0,479.66,14.567703703703703,8.06
qwen25coder_1p5b,none,45,2.3857777777777778,190.86222222222221,107.0,438.56000000000006,529.9399999999998,13.535111111111112,8.12
qwen25coder_1p5b,target_context_memory,45,2.53375,202.7,108.7,475.56,525.0399999999998,14.385333333333334,7.98
qwen25coder_7b,full_inference,45,2.1028333333333333,168.22666666666666,112.2,344.20000000000005,392.78,12.208,8.48
qwen25coder_7b,none,45,2.2676944444444445,181.41555555555556,123.4,377.18,402.12,13.160962962962962,8.226666666666667
qwen25coder_7b,target_context_memory,45,2.03125,162.5,107.1,334.54,387.5,11.826518518518519,7.14
qwen3_14b,full_inference,75,2.9577222222222224,141.97066666666666,93.3,319.62,369.95,10.32991111111111,6.22
qwen3_14b,none,75,3.109722222222222,149.26666666666668,98.4,321.5000000000001,401.85999999999996,10.889644444444444,6.5600000000000005
qwen3_14b,target_context_memory,75,2.984,143.232,90.0,316.58000000000004,377.24,10.412444444444445,6.0
qwen3_4b,communication,75,4.533666666666667,217.616,146.2,533.6200000000003,621.05,16.026311111111113,9.746666666666666
qwen3_4b,full_inference,75,4.598777777777777,220.7413333333333,132.0,542.24,637.4699999999998,16.229288888888888,8.8
qwen3_4b,global_context,75,3.9543333333333335,189.808,133.6,431.34000000000015,487.53,13.892177777777778,8.906666666666666
qwen3_4b,none,75,4.424527777777778,212.37733333333333,143.1,532.6400000000001,567.8299999999999,15.6628,9.54
qwen3_4b,parameter_only,50,3.2176388888888887,231.67,162.35,571.75,663.735,16.929,12.309999999999999
qwen3_4b,parameter_plus_comm,50,3.2777777777777777,236.0,169.3,569.43,658.47,17.23946666666667,11.903333333333332
qwen3_4b,target_context,75,4.5841111111111115,220.03733333333332,139.3,561.8000000000003,658.2699999999999,16.225022222222222,9.286666666666667
qwen3_4b,target_context_comm,75,4.654166666666667,223.4,142.1,542.9200000000002,698.59,16.476,9.473333333333333
qwen3_4b,target_context_memory,75,4.511861111111111,216.56933333333333,132.6,513.44,639.3299999999999,15.925555555555556,8.84
qwen3_4b,target_memory,75,4.334027777777778,208.03333333333333,137.6,490.38000000000005,561.3999999999997,15.363377777777778,9.173333333333334
qwen3_4b,target_memory_comm,75,4.444527777777778,213.33733333333333,144.7,520.7200000000003,615.35,15.71288888888889,9.7
qwen3_8b,communication,75,4.518861111111111,216.90533333333332,152.7,526.8400000000001,583.2099999999999,15.618444444444442,10.479999999999999
qwen3_8b,full_inference,466,28.124055555555557,217.26738197424893,150.75,492.7,537.55,16.10045779685265,11.033333333333333
qwen3_8b,global_context,75,3.9335833333333334,188.81199999999998,123.7,414.70000000000005,537.22,13.775511111111113,8.246666666666666
qwen3_8b,none,81,4.683194444444444,208.14197530864197,145.1,490.5,569.0,16.052263374485598,10.413333333333332
qwen3_8b,parameter_only,50,3.1566666666666667,227.28,164.10000000000002,480.11,536.5749999999999,16.671133333333334,12.206666666666667
qwen3_8b,parameter_plus_comm,50,3.0993055555555555,223.15,164.55,503.65,537.8649999999999,16.4164,11.906666666666666
qwen3_8b,target_context,75,4.472638888888889,214.68666666666667,145.5,504.62,570.1199999999999,15.484355555555554,9.860000000000001
qwen3_8b,target_context_comm,135,9.03813888888889,241.01703703703703,160.2,503.3,563.2199999999999,17.41777777777778,12.186666666666667
qwen3_8b,target_context_memory,466,28.210361111111112,217.93412017167384,152.05,483.35,544.45,16.163032904148785,11.133333333333333
qwen3_8b,target_memory,75,4.441277777777778,213.18133333333333,144.0,517.7800000000001,547.42,15.442044444444445,10.126666666666667
qwen3_8b,target_memory_comm,75,4.300305555555555,206.41466666666668,141.1,508.68000000000023,545.36,14.730355555555555,9.946666666666665
