run_id,block,model_id,benchmark,unit_id,target_id,target_name,topology,intervention,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,runtime_seconds_log,n_log_occurrences,runtime_seconds,runtime_source,runtime_raw_fallback,model_params_b,seconds_per_probe,aggregate_run_hours
AU000022,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,debate,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,685.1,2,685.1,runner_DONE_log,685.1224873065948,4.0,45.67333333333333,0.19030555555555556
AU000023,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,debate,communication,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,669.4,2,669.4,runner_DONE_log,669.4307181835175,4.0,44.626666666666665,0.18594444444444444
AU000024,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,debate,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,739.1,2,739.1,runner_DONE_log,739.0773108005524,4.0,49.27333333333333,0.20530555555555557
AU000025,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,debate,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.8,1.0,1.0,0.6,1.0,15,748.0,2,748.0,runner_DONE_log,747.9916434288025,4.0,49.86666666666667,0.20777777777777778
AU000026,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,debate,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,674.6,2,674.6,runner_DONE_log,674.579815864563,4.0,44.973333333333336,0.18738888888888888
AU000027,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,debate,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,0.4,0.8,1.0,1.0,1.0,1.0,15,742.9,2,742.9,runner_DONE_log,742.8691470623016,4.0,49.526666666666664,0.2063611111111111
AU000028,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,scratchpad,none,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,221.2,2,221.2,runner_DONE_log,221.20706963539124,4.0,14.746666666666666,0.06144444444444444
AU000029,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,scratchpad,global_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,0.0,0.8,1.0,15,231.6,2,231.6,runner_DONE_log,231.5668911933899,4.0,15.44,0.06433333333333333
AU000030,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,scratchpad,target_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,216.2,2,216.2,runner_DONE_log,216.15347528457642,4.0,14.413333333333332,0.06005555555555555
AU000031,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,scratchpad,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,220.2,2,220.2,runner_DONE_log,220.20098614692688,4.0,14.68,0.06116666666666666
AU000032,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,scratchpad,communication,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,221.2,2,221.2,runner_DONE_log,221.19611048698425,4.0,14.746666666666666,0.06144444444444444
AU000033,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,scratchpad,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,217.9,2,217.9,runner_DONE_log,217.86792063713074,4.0,14.526666666666667,0.06052777777777778
AU000034,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,scratchpad,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,231.1,2,231.1,runner_DONE_log,231.05800890922546,4.0,15.406666666666666,0.06419444444444444
AU000035,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,scratchpad,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,219.4,2,219.4,runner_DONE_log,219.39038920402527,4.0,14.626666666666667,0.06094444444444445
AU000036,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,scratchpad,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,0.8,0.8,1.0,1.0,1.0,1.0,15,233.1,2,233.1,runner_DONE_log,233.06531763076782,4.0,15.54,0.06475
AU000037,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,hierarchical,none,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,185.0,2,185.0,runner_DONE_log,185.03545451164246,4.0,12.333333333333334,0.05138888888888889
AU000038,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,hierarchical,global_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.6,1.0,0.2,0.4,1.0,15,192.2,2,192.2,runner_DONE_log,192.17958235740662,4.0,12.813333333333333,0.05338888888888889
AU000039,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,hierarchical,target_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.6,1.0,1.0,1.0,1.0,15,199.8,2,199.8,runner_DONE_log,199.80544209480286,4.0,13.32,0.0555
AU000040,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,hierarchical,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,186.2,2,186.2,runner_DONE_log,186.17214608192444,4.0,12.413333333333332,0.05172222222222222
AU000041,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,hierarchical,communication,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,185.5,2,185.5,runner_DONE_log,185.5124478340149,4.0,12.366666666666667,0.051527777777777777
AU000042,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,hierarchical,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.6,1.0,1.0,1.0,1.0,15,211.3,2,211.3,runner_DONE_log,211.28028345108032,4.0,14.086666666666668,0.058694444444444445
AU000043,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,hierarchical,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.6,1.0,1.0,1.0,1.0,15,199.3,2,199.3,runner_DONE_log,199.28892612457275,4.0,13.286666666666667,0.05536111111111111
AU000044,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,hierarchical,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,186.4,2,186.4,runner_DONE_log,186.38601756095886,4.0,12.426666666666668,0.05177777777777778
AU000045,main,qwen3_4b,TOFU,tofu_forget01,forget01,forget01,hierarchical,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,1.0,0.6,1.0,1.0,1.0,1.0,15,210.5,2,210.5,runner_DONE_log,210.53945064544678,4.0,14.033333333333333,0.058472222222222224
AU000046,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,independent,none,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,128.9,2,128.9,runner_DONE_log,128.91419386863708,4.0,8.593333333333334,0.035805555555555556
