model_id,benchmark,topology,unit_id,target_id,seed,runtime_overhead_seconds,drr_gain_pp,irr_gain_pp
mistral_7b,TOFU,sequential,tofu_forget01,forget01,42,45.19999999999999,40.0,40.0
mistral_7b,TOFU,sequential,tofu_forget05,forget05,42,11.5,60.0,0.0
mistral_7b,TOFU,sequential,tofu_forget10,forget10,42,9.799999999999983,80.0,0.0
qwen3_4b,RWKU,debate,rwku_001,1,42,-11.800000000000011,-19.999999999999996,19.999999999999996
qwen3_4b,RWKU,debate,rwku_023,23,42,14.0,80.0,19.999999999999996
qwen3_4b,RWKU,debate,rwku_045,45,42,-13.5,0.0,60.00000000000001
qwen3_4b,RWKU,debate,rwku_067,67,42,19.0,0.0,0.0
qwen3_4b,RWKU,debate,rwku_089,89,42,30.399999999999977,0.0,60.0
qwen3_4b,RWKU,debate,rwku_112,112,42,3.6000000000000227,60.00000000000001,0.0
qwen3_4b,RWKU,debate,rwku_134,134,42,13.399999999999977,0.0,40.0
qwen3_4b,RWKU,debate,rwku_156,156,42,36.700000000000045,80.0,0.0
qwen3_4b,RWKU,debate,rwku_178,178,42,19.899999999999977,19.999999999999996,0.0
qwen3_4b,RWKU,debate,rwku_200,200,42,-34.79999999999998,19.999999999999996,0.0
qwen3_4b,RWKU,hierarchical,rwku_001,1,42,-5.599999999999994,0.0,0.0
qwen3_4b,RWKU,hierarchical,rwku_023,23,42,-1.3999999999999915,0.0,0.0
qwen3_4b,RWKU,hierarchical,rwku_045,45,42,-0.6999999999999886,0.0,0.0
qwen3_4b,RWKU,hierarchical,rwku_067,67,42,-0.29999999999998295,0.0,0.0
qwen3_4b,RWKU,hierarchical,rwku_089,89,42,-1.5,0.0,0.0
qwen3_4b,RWKU,hierarchical,rwku_112,112,42,-1.6999999999999886,0.0,0.0
qwen3_4b,RWKU,hierarchical,rwku_134,134,42,23.0,0.0,0.0
qwen3_4b,RWKU,hierarchical,rwku_156,156,42,28.9,0.0,0.0
qwen3_4b,RWKU,hierarchical,rwku_178,178,42,1.2000000000000028,0.0,0.0
qwen3_4b,RWKU,hierarchical,rwku_200,200,42,-16.799999999999997,0.0,0.0
qwen3_4b,RWKU,independent,rwku_001,1,42,1.0,0.0,0.0
qwen3_4b,RWKU,independent,rwku_023,23,42,-0.10000000000000853,0.0,0.0
qwen3_4b,RWKU,independent,rwku_045,45,42,-0.7999999999999972,0.0,0.0
qwen3_4b,RWKU,independent,rwku_067,67,42,-0.09999999999999432,0.0,0.0
qwen3_4b,RWKU,independent,rwku_089,89,42,0.4000000000000057,0.0,0.0
qwen3_4b,RWKU,independent,rwku_112,112,42,-0.3999999999999915,0.0,0.0
qwen3_4b,RWKU,independent,rwku_134,134,42,-0.20000000000000284,0.0,0.0
qwen3_4b,RWKU,independent,rwku_156,156,42,-1.7999999999999972,0.0,0.0
qwen3_4b,RWKU,independent,rwku_178,178,42,23.700000000000003,0.0,0.0
qwen3_4b,RWKU,independent,rwku_200,200,42,34.2,0.0,0.0
qwen3_4b,RWKU,scratchpad,rwku_001,1,42,3.3000000000000114,19.999999999999996,0.0
qwen3_4b,RWKU,scratchpad,rwku_023,23,42,-6.800000000000011,100.0,19.999999999999996
qwen3_4b,RWKU,scratchpad,rwku_045,45,42,8.599999999999994,60.0,40.0
qwen3_4b,RWKU,scratchpad,rwku_067,67,42,5.0,0.0,19.999999999999996
qwen3_4b,RWKU,scratchpad,rwku_089,89,42,1.5,40.0,0.0
qwen3_4b,RWKU,scratchpad,rwku_112,112,42,0.29999999999999716,0.0,0.0
qwen3_4b,RWKU,scratchpad,rwku_134,134,42,-9.799999999999997,40.0,40.0
qwen3_4b,RWKU,scratchpad,rwku_156,156,42,22.299999999999997,80.0,0.0
qwen3_4b,RWKU,scratchpad,rwku_178,178,42,4.600000000000001,80.0,0.0
qwen3_4b,RWKU,scratchpad,rwku_200,200,42,-19.1,19.999999999999996,0.0
qwen3_4b,RWKU,sequential,rwku_001,1,42,-2.0999999999999943,0.0,0.0
qwen3_4b,RWKU,sequential,rwku_023,23,42,0.6000000000000085,100.0,0.0
qwen3_4b,RWKU,sequential,rwku_045,45,42,-5.799999999999997,40.0,-19.999999999999996
qwen3_4b,RWKU,sequential,rwku_067,67,42,-0.30000000000001137,0.0,40.0
qwen3_4b,RWKU,sequential,rwku_089,89,42,2.4000000000000057,40.0,0.0
qwen3_4b,RWKU,sequential,rwku_112,112,42,0.8999999999999915,19.999999999999996,0.0
qwen3_4b,RWKU,sequential,rwku_134,134,42,18.599999999999994,80.0,19.999999999999996
qwen3_4b,RWKU,sequential,rwku_156,156,42,29.700000000000003,19.999999999999996,0.0
qwen3_4b,RWKU,sequential,rwku_178,178,42,0.10000000000000142,60.0,0.0
qwen3_4b,RWKU,sequential,rwku_200,200,42,-13.799999999999997,19.999999999999996,0.0
qwen3_4b,TOFU,debate,tofu_forget01,forget01,42,3.7999999999999545,60.0,19.999999999999996
qwen3_4b,TOFU,debate,tofu_forget05,forget05,42,22.400000000000034,60.00000000000001,0.0
qwen3_4b,TOFU,debate,tofu_forget10,forget10,42,-4.7999999999999545,80.0,0.0
qwen3_4b,TOFU,hierarchical,tofu_forget01,forget01,42,-0.8000000000000114,0.0,0.0
qwen3_4b,TOFU,hierarchical,tofu_forget05,forget05,42,-0.09999999999999432,0.0,0.0
qwen3_4b,TOFU,hierarchical,tofu_forget10,forget10,42,10.100000000000023,0.0,0.0
qwen3_4b,TOFU,independent,tofu_forget01,forget01,42,0.8000000000000114,0.0,0.0
qwen3_4b,TOFU,independent,tofu_forget05,forget05,42,-1.0,0.0,0.0
qwen3_4b,TOFU,independent,tofu_forget10,forget10,42,-1.0,0.0,0.0
qwen3_4b,TOFU,scratchpad,tofu_forget01,forget01,42,15.199999999999989,19.999999999999996,19.999999999999996
qwen3_4b,TOFU,scratchpad,tofu_forget05,forget05,42,3.3999999999999773,100.0,0.0
qwen3_4b,TOFU,scratchpad,tofu_forget10,forget10,42,-10.699999999999989,80.0,0.0
qwen3_4b,TOFU,sequential,tofu_forget01,forget01,42,29.0,0.0,19.999999999999996
qwen3_4b,TOFU,sequential,tofu_forget05,forget05,42,-2.0,100.0,0.0
qwen3_4b,TOFU,sequential,tofu_forget10,forget10,42,-7.099999999999994,100.0,0.0
qwen3_8b,RWKU,debate,rwku_001,1,42,-5.300000000000011,19.999999999999996,0.0
qwen3_8b,RWKU,debate,rwku_023,23,42,-6.800000000000011,80.0,0.0
qwen3_8b,RWKU,debate,rwku_045,45,42,13.0,0.0,0.0
qwen3_8b,RWKU,debate,rwku_067,67,42,14.600000000000023,-40.0,0.0
qwen3_8b,RWKU,debate,rwku_089,89,42,-7.300000000000068,0.0,0.0
qwen3_8b,RWKU,debate,rwku_112,112,42,14.600000000000023,0.0,-20.0
qwen3_8b,RWKU,debate,rwku_134,134,42,24.600000000000023,0.0,40.0
qwen3_8b,RWKU,debate,rwku_156,156,42,-12.299999999999955,-20.000000000000007,0.0
qwen3_8b,RWKU,debate,rwku_178,178,42,3.900000000000034,19.999999999999996,0.0
qwen3_8b,RWKU,debate,rwku_200,200,42,4.300000000000011,-20.000000000000007,0.0
qwen3_8b,RWKU,hierarchical,rwku_001,1,42,0.29999999999999716,0.0,0.0
qwen3_8b,RWKU,hierarchical,rwku_023,23,42,1.5,0.0,0.0
qwen3_8b,RWKU,hierarchical,rwku_045,45,42,0.9000000000000057,0.0,0.0
qwen3_8b,RWKU,hierarchical,rwku_067,67,42,2.299999999999983,0.0,0.0
qwen3_8b,RWKU,hierarchical,rwku_089,89,42,-1.0,0.0,0.0
qwen3_8b,RWKU,hierarchical,rwku_112,112,42,-1.9000000000000057,0.0,0.0
qwen3_8b,RWKU,hierarchical,rwku_134,134,42,-0.6000000000000227,0.0,0.0
qwen3_8b,RWKU,hierarchical,rwku_156,156,42,1.2999999999999972,0.0,0.0
qwen3_8b,RWKU,hierarchical,rwku_178,178,42,-1.7999999999999972,0.0,0.0
qwen3_8b,RWKU,hierarchical,rwku_200,200,42,8.799999999999997,0.0,0.0
qwen3_8b,RWKU,independent,rwku_001,1,42,-0.5999999999999943,0.0,0.0
qwen3_8b,RWKU,independent,rwku_023,23,42,0.5,0.0,0.0
qwen3_8b,RWKU,independent,rwku_045,45,42,0.29999999999999716,0.0,0.0
qwen3_8b,RWKU,independent,rwku_067,67,42,0.20000000000001705,0.0,0.0
qwen3_8b,RWKU,independent,rwku_089,89,42,-0.5999999999999943,0.0,0.0
qwen3_8b,RWKU,independent,rwku_112,112,42,-0.19999999999998863,0.0,0.0
qwen3_8b,RWKU,independent,rwku_134,134,42,0.29999999999999716,0.0,0.0
qwen3_8b,RWKU,independent,rwku_156,156,42,0.7999999999999972,0.0,0.0
qwen3_8b,RWKU,independent,rwku_178,178,42,-1.8999999999999915,0.0,0.0
qwen3_8b,RWKU,independent,rwku_200,200,42,-1.9000000000000057,0.0,0.0
