run_id,block,model_id,benchmark,unit_id,target_id,target_name,topology,intervention,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes
AU003186,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.3,42,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU003187,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.3,43,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU003188,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.3,44,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU003189,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.3,45,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003190,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.3,46,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003191,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.7,42,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU003192,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.7,43,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003193,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.7,44,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003194,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.7,45,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003195,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,target_context_memory,4,4,2,2,1.0,0.5,0.7,46,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003196,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.3,42,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU003197,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.3,43,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU003198,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.3,44,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU003199,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.3,45,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003200,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.3,46,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003201,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.7,42,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU003202,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.7,43,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003203,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.7,44,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003204,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.7,45,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003205,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,independent,full_inference,4,4,2,2,1.0,0.5,0.7,46,none,0.2,0.0,1.0,0.0,0.0,1.0,15
AU003206,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.3,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003207,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.3,43,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003208,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.3,44,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003209,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.3,45,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003210,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.3,46,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003211,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.7,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003212,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.7,43,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003213,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.7,44,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003214,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.7,45,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003215,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.7,46,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU003216,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,full_inference,4,4,2,2,1.0,0.5,0.3,42,none,0.0,0.0,1.0,1.0,1.0,1.0,15
AU003217,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,full_inference,4,4,2,2,1.0,0.5,0.3,43,none,0.0,0.2,1.0,1.0,1.0,1.0,15
