content_f1_threshold,semantic_threshold,metric,n_pairs,communication_delta
0.25,0.1,irr_target,195,-0.0851282051282051
0.25,0.15,drr_target,225,-0.2115555555555555
0.25,0.15,irr_target,195,-0.0892307692307692
0.25,0.2,drr_target,225,-0.208
0.25,0.2,irr_target,195,-0.0933333333333333
0.25,0.25,drr_target,225,-0.1964444444444444
0.25,0.25,irr_target,195,-0.1015384615384615
0.25,0.3,drr_target,225,-0.2071111111111111
0.25,0.3,irr_target,195,-0.0707692307692307
0.25,0.35,drr_target,225,-0.1884444444444444
0.25,0.35,irr_target,195,-0.0717948717948717
0.25,0.4,drr_target,225,-0.1857777777777777
0.25,0.4,irr_target,195,-0.083076923076923
0.25,0.45,drr_target,225,-0.1662222222222222
0.25,0.45,irr_target,195,-0.083076923076923
0.25,0.5,drr_target,225,-0.1706666666666667
0.25,0.5,irr_target,195,-0.0748717948717948
0.25,0.55,drr_target,225,-0.144
0.25,0.55,irr_target,195,-0.08
0.25,0.6,drr_target,225,-0.1297777777777778
0.25,0.6,irr_target,195,-0.082051282051282
0.3,0.1,drr_target,225,-0.1937777777777777
0.3,0.1,irr_target,195,-0.1025641025641025
0.3,0.15,drr_target,225,-0.2062222222222222
0.3,0.15,irr_target,195,-0.1046153846153846
0.3,0.2,drr_target,225,-0.2062222222222222
0.3,0.2,irr_target,195,-0.1076923076923077
0.3,0.25,drr_target,225,-0.1955555555555555
0.3,0.25,irr_target,195,-0.1138461538461538
0.3,0.3,drr_target,225,-0.2053333333333333
0.3,0.3,irr_target,195,-0.083076923076923
0.3,0.35,drr_target,225,-0.1866666666666666
0.3,0.35,irr_target,195,-0.082051282051282
0.3,0.4,drr_target,225,-0.184
0.3,0.4,irr_target,195,-0.0902564102564102
0.3,0.45,drr_target,225,-0.1644444444444444
0.3,0.45,irr_target,195,-0.0892307692307692
0.3,0.5,drr_target,225,-0.1697777777777777
0.3,0.5,irr_target,195,-0.0789743589743589
0.3,0.55,drr_target,225,-0.144
0.3,0.55,irr_target,195,-0.081025641025641
0.3,0.6,drr_target,225,-0.1297777777777778
0.3,0.6,irr_target,195,-0.0851282051282051
0.35,0.1,drr_target,225,-0.2
0.35,0.1,irr_target,195,-0.1015384615384615
0.35,0.15,drr_target,225,-0.2017777777777777
0.35,0.15,irr_target,195,-0.1025641025641025
0.35,0.2,drr_target,225,-0.2053333333333333
0.35,0.2,irr_target,195,-0.1056410256410256
0.35,0.25,drr_target,225,-0.1937777777777777
0.35,0.25,irr_target,195,-0.1117948717948717
0.35,0.3,drr_target,225,-0.2
0.35,0.3,irr_target,195,-0.08
0.35,0.35,drr_target,225,-0.1813333333333333
0.35,0.35,irr_target,195,-0.081025641025641
0.35,0.4,drr_target,225,-0.1786666666666666
0.35,0.4,irr_target,195,-0.0892307692307692
0.35,0.45,drr_target,225,-0.1591111111111111
0.35,0.45,irr_target,195,-0.0871794871794871
0.35,0.5,drr_target,225,-0.1653333333333333
0.35,0.5,irr_target,195,-0.0779487179487179
0.35,0.55,drr_target,225,-0.1395555555555555
0.35,0.55,irr_target,195,-0.08
0.35,0.6,drr_target,225,-0.1262222222222222
0.35,0.6,irr_target,195,-0.082051282051282
0.4,0.1,drr_target,225,-0.1928888888888889
0.4,0.1,irr_target,195,-0.0943589743589743
0.4,0.15,drr_target,225,-0.1946666666666666
0.4,0.15,irr_target,195,-0.0953846153846153
0.4,0.2,drr_target,225,-0.1982222222222222
0.4,0.2,irr_target,195,-0.0984615384615384
