model_id,benchmark,topology,intervention,temperature,seed,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system
qwen3_8b,MUSE-News,scratchpad,full_inference,0.3,46,0.6,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,42,1.0,,0.2,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,43,0.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,44,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,45,1.0,,0.2,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,full_inference,0.7,46,0.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,42,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,43,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,44,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,45,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.3,46,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,42,1.0,,0.2,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,43,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,44,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,45,1.0,,0.2,1.0,,1.0
qwen3_8b,MUSE-News,scratchpad,target_context_memory,0.7,46,1.0,,0.4,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,42,0.8,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,43,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,44,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,45,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.3,46,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,42,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,43,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,44,0.2,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,45,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,full_inference,0.7,46,0.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.3,42,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.3,43,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.3,44,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.3,45,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.3,46,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.7,42,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.7,43,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.7,44,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.7,45,1.0,,0.0,1.0,,1.0
qwen3_8b,MUSE-News,sequential,target_context_memory,0.7,46,1.0,,0.0,1.0,,1.0
qwen3_8b,RWKU,debate,full_inference,0.3,42,0.8,0.6,0.4,0.6,0.8,0.8
qwen3_8b,RWKU,debate,full_inference,0.3,43,1.0,0.6,0.6,1.0,1.0,0.4
qwen3_8b,RWKU,debate,full_inference,0.3,44,0.8,0.6,0.8,0.6,1.0,1.0
qwen3_8b,RWKU,debate,full_inference,0.3,45,0.8,0.8,0.6,0.8,0.8,0.8
qwen3_8b,RWKU,debate,full_inference,0.3,46,0.8,0.6,0.6,0.6,0.8,1.0
qwen3_8b,RWKU,debate,full_inference,0.7,42,0.8,1.0,0.4,0.8,0.8,1.0
qwen3_8b,RWKU,debate,full_inference,0.7,43,1.0,0.8,0.4,0.8,0.8,0.6
qwen3_8b,RWKU,debate,full_inference,0.7,44,1.0,0.8,0.8,1.0,0.8,0.8
qwen3_8b,RWKU,debate,full_inference,0.7,45,1.0,0.8,0.4,0.6,0.6,1.0
qwen3_8b,RWKU,debate,full_inference,0.7,46,1.0,0.6,0.8,0.8,0.8,1.0
qwen3_8b,RWKU,debate,target_context_memory,0.3,42,1.0,0.6,0.6,0.6,0.8,0.8
qwen3_8b,RWKU,debate,target_context_memory,0.3,43,1.0,0.6,0.6,1.0,1.0,0.4
qwen3_8b,RWKU,debate,target_context_memory,0.3,44,0.8,0.6,0.8,0.6,1.0,1.0
qwen3_8b,RWKU,debate,target_context_memory,0.3,45,0.8,0.8,0.8,0.8,0.8,0.8
qwen3_8b,RWKU,debate,target_context_memory,0.3,46,1.0,0.6,1.0,0.6,0.8,1.0
qwen3_8b,RWKU,debate,target_context_memory,0.7,42,1.0,1.0,0.6,0.8,0.8,1.0
qwen3_8b,RWKU,debate,target_context_memory,0.7,43,1.0,0.8,0.4,0.8,0.8,0.6
qwen3_8b,RWKU,debate,target_context_memory,0.7,44,1.0,0.8,1.0,1.0,0.8,0.8
qwen3_8b,RWKU,debate,target_context_memory,0.7,45,1.0,0.8,0.6,0.6,0.6,1.0
qwen3_8b,RWKU,debate,target_context_memory,0.7,46,0.8,0.6,1.0,0.8,0.8,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.3,42,0.8,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.3,43,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.3,44,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.3,45,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.3,46,0.8,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.7,42,0.8,0.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.7,43,0.8,0.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.7,44,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.7,45,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,full_inference,0.7,46,0.8,0.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.3,42,0.8,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.3,43,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.3,44,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.3,45,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.3,46,0.8,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.7,42,0.8,0.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.7,43,0.8,0.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.7,44,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.7,45,1.0,0.0,1.0,0.8,1.0,1.0
qwen3_8b,RWKU,hierarchical,target_context_memory,0.7,46,0.8,0.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.3,42,0.8,0.0,1.0,0.8,0.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.3,43,0.8,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.3,44,1.0,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.3,45,0.8,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.3,46,0.8,0.0,1.0,0.8,0.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.7,42,0.8,0.0,1.0,0.8,0.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.7,43,0.8,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.7,44,1.0,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.7,45,0.8,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,full_inference,0.7,46,1.0,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.3,42,0.8,0.0,1.0,0.8,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.3,43,0.8,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.3,44,1.0,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.3,45,0.8,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.3,46,0.8,0.0,1.0,0.8,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.7,42,0.8,0.0,1.0,0.8,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.7,43,0.8,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.7,44,1.0,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.7,45,0.8,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,independent,target_context_memory,0.7,46,1.0,0.0,1.0,1.0,0.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.3,42,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.3,43,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.3,44,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.3,45,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.3,46,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.7,42,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.7,43,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.7,44,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.7,45,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,full_inference,0.7,46,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.3,42,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.3,43,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.3,44,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.3,45,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.3,46,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.7,42,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.7,43,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.7,44,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.7,45,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,scratchpad,target_context_memory,0.7,46,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.3,42,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.3,43,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.3,44,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.3,45,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.3,46,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.7,42,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.7,43,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.7,44,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.7,45,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,full_inference,0.7,46,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.3,42,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.3,43,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.3,44,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.3,45,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.3,46,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.7,42,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.7,43,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.7,44,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.7,45,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,RWKU,sequential,target_context_memory,0.7,46,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,debate,full_inference,0.3,42,0.26666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666667,1.0
qwen3_8b,TOFU,debate,full_inference,0.3,43,0.3333333333333333,0.6666666666666666,1.0,1.0,0.7999999999999999,1.0
qwen3_8b,TOFU,debate,full_inference,0.3,44,0.20000000000000004,0.6666666666666666,1.0,0.8666666666666667,0.8666666666666667,1.0
qwen3_8b,TOFU,debate,full_inference,0.3,45,0.3333333333333333,0.6666666666666666,1.0,1.0,0.7333333333333334,1.0
qwen3_8b,TOFU,debate,full_inference,0.3,46,0.4000000000000001,0.7333333333333334,1.0,1.0,0.9333333333333332,1.0
qwen3_8b,TOFU,debate,full_inference,0.7,42,0.4666666666666666,0.7333333333333334,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,debate,full_inference,0.7,43,0.5333333333333333,0.7333333333333334,1.0,0.8666666666666667,0.8666666666666667,1.0
qwen3_8b,TOFU,debate,full_inference,0.7,44,0.3333333333333333,0.6666666666666666,1.0,0.8666666666666667,1.0,1.0
qwen3_8b,TOFU,debate,full_inference,0.7,45,0.46666666666666673,0.7333333333333334,1.0,1.0,0.7333333333333334,1.0
qwen3_8b,TOFU,debate,full_inference,0.7,46,0.4000000000000001,0.7999999999999999,1.0,0.7999999999999999,1.0,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.3,42,1.0,0.7999999999999999,1.0,1.0,0.8666666666666667,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.3,43,1.0,0.7999999999999999,1.0,1.0,0.7999999999999999,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.3,44,0.9333333333333332,0.8666666666666667,1.0,1.0,0.9333333333333332,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.3,45,1.0,0.7999999999999999,1.0,1.0,0.7333333333333334,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.3,46,1.0,0.9333333333333332,1.0,1.0,0.9333333333333332,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.7,42,1.0,0.7999999999999999,1.0,1.0,0.9333333333333332,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.7,43,1.0,0.8666666666666667,1.0,1.0,0.7999999999999999,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.7,44,1.0,0.8666666666666667,1.0,0.8666666666666667,1.0,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.7,45,1.0,0.7999999999999999,1.0,1.0,0.8666666666666667,1.0
qwen3_8b,TOFU,debate,target_context_memory,0.7,46,1.0,1.0,1.0,0.8666666666666667,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.3,42,0.13333333333333333,0.26666666666666666,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.3,43,0.13333333333333333,0.26666666666666666,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.3,44,0.13333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.3,45,0.13333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.3,46,0.06666666666666667,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.7,42,0.26666666666666666,0.26666666666666666,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.7,43,0.26666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.7,44,0.26666666666666666,0.39999999999999997,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.7,45,0.20000000000000004,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,full_inference,0.7,46,0.26666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.3,42,0.13333333333333333,0.26666666666666666,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.3,43,0.13333333333333333,0.26666666666666666,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.3,44,0.13333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.3,45,0.13333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.3,46,0.06666666666666667,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.7,42,0.26666666666666666,0.26666666666666666,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.7,43,0.26666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.7,44,0.26666666666666666,0.39999999999999997,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.7,45,0.20000000000000004,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,hierarchical,target_context_memory,0.7,46,0.26666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0
qwen3_8b,TOFU,independent,full_inference,0.3,42,0.19999999999999998,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0
qwen3_8b,TOFU,independent,full_inference,0.3,43,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0
qwen3_8b,TOFU,independent,full_inference,0.3,44,0.19999999999999998,0.3333333333333333,1.0,0.06666666666666667,0.26666666666666666,1.0
