block,parameter_method,model_id,benchmark,topology,intervention,drr_target_mean,drr_target_std,drr_target_count,irr_target_mean,irr_target_std,irr_target_count,retention_target_mean,retention_target_std,retention_target_count,drr_system_mean,drr_system_std,drr_system_count,irr_system_mean,irr_system_std,irr_system_count,retention_system_mean,retention_system_std,retention_system_count
ablation_n_agents,none,qwen3_8b,RWKU,debate,full_inference,0.7999999999999999,0.2,3,0.5333333333333333,0.46188021535170065,3,0.3333333333333333,0.11547005383792514,3,0.7333333333333334,0.1154700538379252,3,0.4000000000000001,0.4,3,0.3333333333333333,0.11547005383792514,3
ablation_n_agents,none,qwen3_8b,RWKU,debate,target_context_memory,0.7999999999999999,0.2,3,0.5333333333333333,0.46188021535170065,3,0.3333333333333333,0.11547005383792514,3,0.7333333333333334,0.1154700538379252,3,0.4000000000000001,0.4,3,0.3333333333333333,0.11547005383792514,3
ablation_n_agents,none,qwen3_8b,RWKU,scratchpad,full_inference,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,0.9333333333333332,0.11547005383792512,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
ablation_n_agents,none,qwen3_8b,RWKU,scratchpad,target_context_memory,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
ablation_n_agents,none,qwen3_8b,RWKU,sequential,full_inference,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
ablation_n_agents,none,qwen3_8b,RWKU,sequential,target_context_memory,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3
ablation_n_agents,none,qwen3_8b,TOFU,debate,full_inference,0.26666666666666666,0.3,9,0.5777777777777778,0.4737556801183965,9,1.0,0.0,9,0.3333333333333333,0.5,9,0.5777777777777778,0.45215533220835125,9,0.9555555555555555,0.08819171036881968,9
ablation_n_agents,none,qwen3_8b,TOFU,debate,target_context_memory,0.6222222222222222,0.42946995755750417,9,0.6888888888888889,0.3620926830400072,9,1.0,0.0,9,0.5555555555555556,0.4876246279442598,9,0.6444444444444444,0.4216370213557839,9,0.9555555555555555,0.08819171036881968,9
ablation_n_agents,none,qwen3_8b,TOFU,scratchpad,full_inference,0.3333333333333333,0.3,9,0.5555555555555556,0.5270462766947299,9,1.0,0.0,9,0.35555555555555557,0.4876246279442598,9,0.6222222222222222,0.4737556801183965,9,1.0,0.0,9
ablation_n_agents,none,qwen3_8b,TOFU,scratchpad,target_context_memory,0.6888888888888889,0.4255715111601235,9,0.7333333333333333,0.4242640687119285,9,1.0,0.0,9,0.5333333333333333,0.47958315233127197,9,0.7555555555555555,0.4333333333333334,9,1.0,0.0,9
ablation_n_agents,none,qwen3_8b,TOFU,sequential,full_inference,0.2666666666666667,0.4,9,0.5777777777777778,0.5044248650140518,9,1.0,0.0,9,0.3333333333333333,0.5,9,0.6666666666666666,0.5,9,1.0,0.0,9
ablation_n_agents,none,qwen3_8b,TOFU,sequential,target_context_memory,0.7111111111111111,0.41365578819969523,9,0.8,0.39999999999999997,9,1.0,0.0,9,0.6222222222222222,0.4841946348777983,9,0.7777777777777778,0.44095855184409843,9,1.0,0.0,9
