metric,grid_points,min_delta,median_delta,max_delta,negative_fraction
drr_target,99,-0.2133333333333333,-0.1724444444444444,-0.0746666666666666,1.0
irr_target,99,-0.1138461538461538,-0.0748717948717948,-0.0256410256410256,1.0
