contrast,A,B,metric,n_pairs,mean_A,mean_B,mean_diff_B_minus_A,median_diff,bootstrap95_low,bootstrap95_high,wilcoxon_p,model_id,benchmark,topology,wilcoxon_p_holm
local_suppression,none,target_context_memory,drr_target,75,0.3093333333333333,0.184,-0.1253333333333333,0.0,-0.2106666666666666,-0.0506000000000003,0.0043854725465034,mistral_7b,,,1.0
local_suppression,none,target_context_memory,irr_target,65,0.2953846153846153,0.2,-0.0953846153846153,0.0,-0.1846153846153846,-0.0123076923076923,0.0307243675786154,mistral_7b,,,1.0
local_suppression,none,target_context_memory,retention_target,75,0.296,0.328,0.032,0.0,-0.0026666666666666,0.072,0.1057679846939576,mistral_7b,,,1.0
local_suppression,none,target_context_memory,drr_system,75,0.312,0.248,-0.064,0.0,-0.1306666666666666,-0.005266666666667,0.0433110095994781,mistral_7b,,,1.0
local_suppression,none,target_context_memory,irr_system,65,0.2892307692307692,0.1907692307692307,-0.0984615384615384,0.0,-0.1661538461538461,-0.043076923076923,0.002735618579248,mistral_7b,,,0.9656733584745568
local_suppression,none,target_context_memory,retention_system,75,0.2746666666666666,0.2853333333333333,0.0106666666666666,0.0,-0.0106666666666666,0.0373333333333333,0.4388487535919271,mistral_7b,,,1.0
local_suppression,none,target_context_memory,drr_target,75,0.488,0.2426666666666666,-0.2453333333333333,0.0,-0.3306666666666666,-0.1653333333333333,2.76955614484706e-07,qwen3_4b,,,0.0001129978907097
local_suppression,none,target_context_memory,irr_target,65,0.3015384615384615,0.2092307692307692,-0.0923076923076923,0.0,-0.1662307692307692,-0.0276923076923077,0.0085587266989607,qwen3_4b,,,1.0
local_suppression,none,target_context_memory,retention_target,75,0.4266666666666667,0.5946666666666667,0.168,0.0,0.1013333333333333,0.2346666666666667,9.85116738522155e-06,qwen3_4b,,,0.0039010622845477
local_suppression,none,target_context_memory,drr_system,75,0.496,0.3733333333333333,-0.1226666666666666,0.0,-0.2026666666666666,-0.0506666666666666,0.0021224241433402,qwen3_4b,,,0.7513381467424489
local_suppression,none,target_context_memory,irr_system,65,0.2892307692307692,0.24,-0.0492307692307692,0.0,-0.1046153846153846,-0.003076923076923,0.0766422095679813,qwen3_4b,,,1.0
local_suppression,none,target_context_memory,retention_system,75,0.4293333333333333,0.4986666666666666,0.0693333333333333,0.0,0.0213333333333333,0.1226666666666666,0.0083005419547254,qwen3_4b,,,1.0
local_suppression,none,target_context_memory,drr_target,75,0.4346666666666667,0.2586666666666666,-0.176,0.0,-0.2613333333333333,-0.104,0.0001009017931032,qwen3_8b,,,0.0388471903447662
local_suppression,none,target_context_memory,irr_target,65,0.243076923076923,0.16,-0.083076923076923,0.0,-0.163076923076923,-0.0092307692307692,0.0542987440592064,qwen3_8b,,,1.0
local_suppression,none,target_context_memory,retention_target,75,0.3973333333333333,0.3919999999999999,-0.0053333333333333,0.0,-0.0667333333333333,0.056,0.9903717801741198,qwen3_8b,,,1.0
local_suppression,none,target_context_memory,drr_system,75,0.4133333333333333,0.3253333333333333,-0.088,0.0,-0.1494,-0.0373333333333333,0.0089427354096592,qwen3_8b,,,1.0
local_suppression,none,target_context_memory,irr_system,65,0.2369230769230769,0.2092307692307692,-0.0276923076923076,0.0,-0.0892307692307692,0.0276923076923076,0.3718097480960753,qwen3_8b,,,1.0
local_suppression,none,target_context_memory,retention_system,75,0.36,0.36,-2.9605947323337513e-18,0.0,-0.0427333333333333,0.0453333333333333,0.8253700226538917,qwen3_8b,,,1.0
communication_defense,target_context_memory,full_inference,drr_target,75,0.184,0.0106666666666666,-0.1733333333333333,0.0,-0.2586666666666666,-0.0933333333333333,0.0003990793437499,mistral_7b,,,0.147260277843742
communication_defense,target_context_memory,full_inference,irr_target,65,0.2,0.1138461538461538,-0.0861538461538461,0.0,-0.1415384615384615,-0.0338461538461538,0.0041632499920678,mistral_7b,,,1.0
communication_defense,target_context_memory,full_inference,retention_target,75,0.328,0.3173333333333334,-0.0106666666666666,0.0,-0.024,0.0026666666666666,0.2877873901541501,mistral_7b,,,1.0
communication_defense,target_context_memory,full_inference,drr_system,75,0.248,0.2186666666666666,-0.0293333333333333,0.0,-0.072,-1.4802973661668757e-18,0.113846298006658,mistral_7b,,,1.0
communication_defense,target_context_memory,full_inference,irr_system,65,0.1907692307692307,0.1723076923076923,-0.0184615384615384,0.0,-0.0553846153846153,0.0123076923076923,0.4003808031520797,mistral_7b,,,1.0
communication_defense,target_context_memory,full_inference,retention_system,75,0.2853333333333333,0.288,0.0026666666666666,0.0,-0.0053999999999999,0.016,0.6547208460185769,mistral_7b,,,1.0
communication_defense,target_context_memory,full_inference,drr_target,75,0.2426666666666666,0.0239999999999999,-0.2186666666666666,0.0,-0.304,-0.136,9.668995189689832e-06,qwen3_4b,,,0.0038385910903068
communication_defense,target_context_memory,full_inference,irr_target,65,0.2092307692307692,0.1076923076923077,-0.1015384615384615,0.0,-0.163076923076923,-0.0523076923076923,0.0002589652904955,qwen3_4b,,,0.0968530186453213
communication_defense,target_context_memory,full_inference,retention_target,75,0.5946666666666667,0.6106666666666666,0.016,0.0,-0.0053333333333333,0.0453333333333333,0.113846298006658,qwen3_4b,,,1.0
communication_defense,target_context_memory,full_inference,drr_system,75,0.3733333333333333,0.3573333333333333,-0.016,0.0,-0.0346666666666666,0.0,0.0715459725890063,qwen3_4b,,,1.0
communication_defense,target_context_memory,full_inference,irr_system,65,0.24,0.2276923076923077,-0.0123076923076923,0.0,-0.0276923076923076,7.692307692265708e-05,0.0683653128893543,qwen3_4b,,,1.0
communication_defense,target_context_memory,full_inference,retention_system,75,0.4986666666666666,0.504,0.0053333333333333,0.0,0.0,0.0133333333333333,0.157299207050285,qwen3_4b,,,1.0
communication_defense,target_context_memory,full_inference,drr_target,75,0.2586666666666666,0.1413333333333333,-0.1173333333333333,0.0,-0.184,-0.0533333333333333,0.0011359727258648,qwen3_8b,,,0.4055422631337601
communication_defense,target_context_memory,full_inference,irr_target,65,0.16,0.1107692307692307,-0.0492307692307692,0.0,-0.0953846153846153,-0.0123076923076923,0.0272811714776179,qwen3_8b,,,1.0
communication_defense,target_context_memory,full_inference,retention_target,75,0.3919999999999999,0.3919999999999999,-7.401486830834377e-19,0.0,-0.0133333333333333,0.0133333333333333,0.7388826803635273,qwen3_8b,,,1.0
communication_defense,target_context_memory,full_inference,drr_system,75,0.3253333333333333,0.32,-0.0053333333333333,0.0,-0.0346666666666666,0.0239999999999999,0.7246620479349835,qwen3_8b,,,1.0
communication_defense,target_context_memory,full_inference,irr_system,65,0.2092307692307692,0.2061538461538461,-0.003076923076923,0.0,-0.0184615384615384,0.0123076923076923,0.2623135752307827,qwen3_8b,,,1.0
communication_defense,target_context_memory,full_inference,retention_system,75,0.36,0.3546666666666667,-0.0053333333333333,0.0,-0.0186666666666666,0.0053333333333333,0.4496917979688909,qwen3_8b,,,1.0
total_defense,none,full_inference,drr_target,75,0.3093333333333333,0.0106666666666666,-0.2986666666666666,0.0,-0.4,-0.197266666666667,2.414812257016655e-06,mistral_7b,,,0.0009731693395777
total_defense,none,full_inference,irr_target,65,0.2953846153846153,0.1138461538461538,-0.1815384615384615,0.0,-0.2738461538461538,-0.0923076923076923,0.0005441435709722,mistral_7b,,,0.1991565469758589
total_defense,none,full_inference,retention_target,75,0.296,0.3173333333333334,0.0213333333333333,0.0,-0.0133333333333333,0.064,0.3476544801333189,mistral_7b,,,1.0
