contrast,metric,n_pairs,A_percent,B_percent,delta_pp,ci95_low_pp,ci95_high_pp,wilcoxon_p,p_holm_primary18,significant_holm05
local_suppression,drr_target,225,41.06666666666667,22.844444444444438,-18.22222222222222,-23.02222222222222,-13.86666666666666,9.276662630656076e-12,1.577032647211533e-10,True
local_suppression,irr_target,195,28.000000000000004,18.97435897435897,-9.02564102564102,-13.53846153846154,-4.82051282051282,0.0001402441737722,0.0014024417377220002,True
local_suppression,retention_target,225,37.33333333333333,43.822222222222216,6.48888888888888,3.02222222222222,10.133333333333331,0.0002176665654464,0.0019589990890176,True
local_suppression,drr_system,225,40.71111111111111,31.555555555555546,-9.15555555555555,-13.06666666666666,-5.511111111111109,1.098751542748336e-05,0.0001318501851298003,True
local_suppression,irr_system,195,27.17948717948718,21.33333333333333,-5.84615384615384,-9.33333333333333,-2.56410256410256,0.0007598088517268,0.0053186619620876,True
local_suppression,retention_system,225,35.466666666666654,38.13333333333333,2.66666666666666,0.26666666666666,5.24444444444444,0.021586292164572,0.11564339222845141,False
communication_defense,drr_target,225,22.844444444444438,5.86666666666666,-16.97777777777777,-21.691111111111113,-12.53333333333333,8.040196577432795e-11,1.2864314523892472e-09,True
communication_defense,irr_target,195,18.97435897435897,11.07692307692307,-7.897435897435889,-10.97692307692307,-4.923076923076921,5.870939482702339e-07,7.632221327513041e-06,True
communication_defense,retention_target,225,43.822222222222216,44.0,0.17777777777777,-0.7999999999999899,1.33333333333333,0.8066993913987232,1.0,False
communication_defense,drr_system,225,31.555555555555546,29.86666666666667,-1.68888888888888,-3.38,-0.08888888888888,0.0270141972724034,0.11564339222845141,False
communication_defense,irr_system,195,21.33333333333333,20.2051282051282,-1.12820512820512,-2.56410256410256,0.20512820512820001,0.0628234508558702,0.18847035256761058,False
communication_defense,retention_system,225,38.13333333333333,38.22222222222222,0.08888888888888,-0.44444444444444003,0.71111111111111,0.6082476524171389,1.0,False
total_defense,drr_target,225,41.06666666666667,5.86666666666666,-35.199999999999996,-41.24666666666666,-29.688888888888894,1.4803069461140788e-20,2.6645525030053417e-19,True
total_defense,irr_target,195,28.000000000000004,11.07692307692307,-16.92307692307692,-21.84615384615384,-12.1025641025641,1.766182998663208e-09,2.649274497994812e-08,True
total_defense,retention_target,225,37.33333333333333,44.0,6.66666666666666,3.10888888888888,10.491111111111099,0.0003092474227198,0.0024739793817584,True
total_defense,drr_system,225,40.71111111111111,29.86666666666667,-10.84444444444444,-14.75555555555555,-7.197777777777779,4.832811272136083e-07,6.765935780990517e-06,True
total_defense,irr_system,195,27.17948717948718,20.2051282051282,-6.97435897435897,-10.36153846153846,-3.7923076923076997,6.786528004719575e-05,0.0007465180805191532,True
total_defense,retention_system,225,35.466666666666654,38.22222222222222,2.75555555555555,0.26666666666666,5.33333333333333,0.0192738987047419,0.11564339222845141,False
