contrast,A,B,metric,n_pairs,mean_A,mean_B,mean_diff_B_minus_A,median_diff,bootstrap95_low,bootstrap95_high,wilcoxon_p,model_id,benchmark,topology,wilcoxon_p_holm
local_suppression,none,target_context_memory,drr_target,45,0.3022222222222223,0.2622222222222222,-0.0399999999999999,0.0,-0.111111111111111,0.0222222222222222,0.3048777288236066,,,debate,1.0
local_suppression,none,target_context_memory,irr_target,39,0.1948717948717948,0.1999999999999999,0.0051282051282051,0.0,-0.0615384615384615,0.0666666666666666,0.7021284448669202,,,debate,1.0
local_suppression,none,target_context_memory,retention_target,45,0.2177777777777778,0.2177777777777778,2.4671622769447924e-18,0.0,-0.0488888888888888,0.0488888888888889,0.9150258329528352,,,debate,1.0
local_suppression,none,target_context_memory,drr_system,45,0.3022222222222223,0.3155555555555555,0.0133333333333333,0.0,-0.0577777777777777,0.0933333333333333,0.5854093022608275,,,debate,1.0
local_suppression,none,target_context_memory,irr_system,39,0.1948717948717948,0.1743589743589743,-0.0205128205128205,0.0,-0.0769230769230769,0.0307692307692307,0.8109044128826035,,,debate,1.0
local_suppression,none,target_context_memory,retention_system,45,0.2177777777777778,0.2444444444444444,0.0266666666666666,0.0,-0.0177777777777777,0.0755555555555555,0.258294311186267,,,debate,1.0
local_suppression,none,target_context_memory,drr_target,45,0.4177777777777778,0.0577777777777777,-0.36,-0.2,-0.4977777777777778,-0.2444444444444444,1.182194169536384e-05,,,hierarchical,0.0046578450279733
local_suppression,none,target_context_memory,irr_target,39,0.2564102564102564,0.0358974358974358,-0.2205128205128205,0.0,-0.3538461538461538,-0.1128205128205128,0.0018506039346158,,,hierarchical,0.6588150007232281
local_suppression,none,target_context_memory,retention_target,45,0.3911111111111111,0.5066666666666667,0.1155555555555555,0.0,0.0177777777777777,0.2177777777777778,0.0232363671017754,,,hierarchical,1.0
local_suppression,none,target_context_memory,drr_system,45,0.3911111111111111,0.3644444444444444,-0.0266666666666666,0.0,-0.0622222222222222,3.700743415417189e-18,0.246251699692527,,,hierarchical,1.0
local_suppression,none,target_context_memory,irr_system,39,0.241025641025641,0.2205128205128205,-0.0205128205128205,0.0,-0.0512820512820512,0.0051282051282051,0.1936464312692206,,,hierarchical,1.0
local_suppression,none,target_context_memory,retention_system,45,0.32,0.32,-1.2335811384723962e-18,0.0,-0.0177777777777777,0.0177777777777777,0.7054569861112734,,,hierarchical,1.0
local_suppression,none,target_context_memory,drr_target,45,0.4755555555555556,0.0622222222222222,-0.4133333333333334,-0.2,-0.5466666666666666,-0.2933333333333333,7.778787466397412e-06,,,independent,0.0031192937740253
local_suppression,none,target_context_memory,irr_target,39,0.3179487179487179,0.0461538461538461,-0.2717948717948718,0.0,-0.4,-0.158974358974359,0.0001766057613945,,,independent,0.0671101893299135
local_suppression,none,target_context_memory,retention_target,45,0.4844444444444444,0.5688888888888889,0.0844444444444444,0.0,-0.0177777777777777,0.1822222222222222,0.0776311060517476,,,independent,1.0
