run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes
AU000048,main,qwen3_4b,TOFU,tofu_forget05,independent,target_context,none,0.0,0.6,1.0,0.0,0.6,1.0,15
AU000049,main,qwen3_4b,TOFU,tofu_forget05,independent,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000050,main,qwen3_4b,TOFU,tofu_forget05,independent,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000051,main,qwen3_4b,TOFU,tofu_forget05,independent,target_context_memory,none,0.0,0.6,1.0,0.0,0.6,1.0,15
AU000052,main,qwen3_4b,TOFU,tofu_forget05,independent,target_context_comm,none,0.0,0.6,1.0,0.0,0.6,1.0,15
AU000053,main,qwen3_4b,TOFU,tofu_forget05,independent,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000054,main,qwen3_4b,TOFU,tofu_forget05,independent,full_inference,none,0.0,0.6,1.0,0.0,0.6,1.0,15
AU000055,main,qwen3_4b,TOFU,tofu_forget05,sequential,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000056,main,qwen3_4b,TOFU,tofu_forget05,sequential,global_context,none,0.0,0.4,1.0,0.0,0.4,1.0,15
AU000057,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_context,none,0.8,1.0,1.0,1.0,1.0,1.0,15
AU000058,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_memory,none,1.0,1.0,1.0,0.8,1.0,1.0,15
AU000059,main,qwen3_4b,TOFU,tofu_forget05,sequential,communication,none,0.4,1.0,1.0,1.0,1.0,1.0,15
AU000060,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_context_memory,none,0.8,1.0,1.0,1.0,1.0,1.0,15
AU000061,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_context_comm,none,0.0,0.6,1.0,0.8,1.0,1.0,15
AU000062,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_memory_comm,none,0.4,1.0,1.0,1.0,1.0,1.0,15
AU000063,main,qwen3_4b,TOFU,tofu_forget05,sequential,full_inference,none,0.0,0.6,1.0,1.0,1.0,1.0,15
AU000064,main,qwen3_4b,TOFU,tofu_forget05,debate,none,none,0.8,1.0,0.6,0.8,1.0,0.6,15
AU000065,main,qwen3_4b,TOFU,tofu_forget05,debate,global_context,none,0.0,0.6,1.0,0.0,0.6,1.0,15
AU000066,main,qwen3_4b,TOFU,tofu_forget05,debate,target_context,none,0.6,0.6,1.0,1.0,1.0,1.0,15
AU000067,main,qwen3_4b,TOFU,tofu_forget05,debate,target_memory,none,1.0,1.0,1.0,0.6,1.0,1.0,15
AU000068,main,qwen3_4b,TOFU,tofu_forget05,debate,communication,none,0.8,1.0,0.6,0.8,1.0,0.6,15
AU000069,main,qwen3_4b,TOFU,tofu_forget05,debate,target_context_memory,none,0.6,0.6,0.8,0.6,0.8,1.0,15
AU000070,main,qwen3_4b,TOFU,tofu_forget05,debate,target_context_comm,none,0.0,0.2,1.0,0.6,0.8,1.0,15
AU000071,main,qwen3_4b,TOFU,tofu_forget05,debate,target_memory_comm,none,0.8,1.0,1.0,0.6,1.0,1.0,15
AU000072,main,qwen3_4b,TOFU,tofu_forget05,debate,full_inference,none,0.0,0.2,0.8,0.6,0.8,1.0,15
AU000073,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000074,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,global_context,none,0.0,0.6,1.0,0.0,0.6,1.0,15
AU000075,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_context,none,0.8,1.0,1.0,1.0,1.0,1.0,15
AU000076,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000077,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000078,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_context_memory,none,1.0,0.8,1.0,1.0,1.0,1.0,15
AU000079,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_context_comm,none,0.0,0.6,1.0,0.4,1.0,1.0,15
AU000080,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000081,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,full_inference,none,0.0,0.6,1.0,0.6,1.0,1.0,15
AU000082,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000083,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,global_context,none,0.0,0.6,1.0,0.0,0.6,1.0,15
AU000084,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_context,none,0.0,0.6,1.0,1.0,1.0,1.0,15
AU000085,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000086,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000087,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_context_memory,none,0.0,0.6,1.0,1.0,1.0,1.0,15
AU000088,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_context_comm,none,0.0,0.6,1.0,1.0,1.0,1.0,15
AU000089,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000090,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,full_inference,none,0.0,0.6,1.0,1.0,1.0,1.0,15
AU000091,main,qwen3_4b,TOFU,tofu_forget10,independent,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000092,main,qwen3_4b,TOFU,tofu_forget10,independent,global_context,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000093,main,qwen3_4b,TOFU,tofu_forget10,independent,target_context,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000094,main,qwen3_4b,TOFU,tofu_forget10,independent,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000095,main,qwen3_4b,TOFU,tofu_forget10,independent,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000096,main,qwen3_4b,TOFU,tofu_forget10,independent,target_context_memory,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000097,main,qwen3_4b,TOFU,tofu_forget10,independent,target_context_comm,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000098,main,qwen3_4b,TOFU,tofu_forget10,independent,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000099,main,qwen3_4b,TOFU,tofu_forget10,independent,full_inference,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000100,main,qwen3_4b,TOFU,tofu_forget10,sequential,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000101,main,qwen3_4b,TOFU,tofu_forget10,sequential,global_context,none,0.0,0.0,1.0,0.0,0.0,1.0,15
AU000102,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_context,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000103,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000104,main,qwen3_4b,TOFU,tofu_forget10,sequential,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15
AU000105,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_context_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15
