model_id,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
mistral_7b,drr_target,693,0.1261183261183261,0.3126829136294575,0.01187784169543072,0.0,0.0,0.0,0.0,1.0,0.10283775639528189,0.1493988958413703
mistral_7b,irr_target,585,0.1606837606837607,0.34585541780768586,0.014299361651338707,0.0,0.0,0.0,0.0,1.0,0.13265701184713682,0.18871050952038457
mistral_7b,retention_target,675,0.2174814814814815,0.37739093088719405,0.014525783702496329,0.0,0.0,0.2,0.0,1.0,0.18901094542458868,0.2459520175383743
mistral_7b,drr_system,693,0.1624819624819625,0.3520060820885869,0.013371605344038001,0.0,0.0,0.0,0.0,1.0,0.13627361600764804,0.18869030895627698
mistral_7b,irr_system,585,0.17435897435897432,0.3572521283988685,0.014770557642461159,0.0,0.0,0.0,0.0,1.0,0.14540868137975044,0.2033092673381982
mistral_7b,retention_system,675,0.18133333333333335,0.3669684937033694,0.014124623908250122,0.0,0.0,0.0,0.0,1.0,0.15364907047316312,0.20901759619350357
mistral_7b,n_scored_probes,693,14.090909090909092,2.2416423864087696,0.08515295285716729,15.0,15.0,15.0,5.0,15.0,13.924009303309044,14.25780887850914
qwen25coder_14b,drr_target,135,0.1688888888888889,0.3436995100866902,0.029580943970342208,0.0,0.0,0.0,0.0,1.0,0.11091023870701816,0.22686753907075963
qwen25coder_14b,irr_target,117,0.17606837606837608,0.35346793559148426,0.032678122205320494,0.0,0.0,0.0,0.0,1.0,0.11201925654594791,0.24011749559080425
qwen25coder_14b,retention_target,135,0.5259259259259259,0.450366842673333,0.038761406252396324,0.4,0.0,1.0,0.0,1.0,0.4499535696712291,0.6018982821806227
qwen25coder_14b,drr_system,135,0.18370370370370367,0.35328044912285883,0.030405539910966867,0.0,0.0,0.0,0.0,1.0,0.12410884547820861,0.24329856192919874
qwen25coder_14b,irr_system,117,0.21367521367521367,0.37391359478240493,0.034568324066180135,0.0,0.0,0.4,0.0,1.0,0.14592129850550062,0.2814291288449267
qwen25coder_14b,retention_system,135,0.36444444444444446,0.445117235381681,0.038309591994291944,0.0,0.0,1.0,0.0,1.0,0.28935764413563225,0.43953124475325667
qwen25coder_14b,n_scored_probes,135,14.333333333333334,1.706003447005319,0.1468293986405344,15.0,15.0,15.0,10.0,15.0,14.045547711997887,14.62111895466878
qwen25coder_1p5b,drr_target,135,0.1274074074074074,0.3067474116787076,0.026400613709419225,0.0,0.0,0.0,0.0,1.0,0.07566220453694573,0.1791526102778691
qwen25coder_1p5b,irr_target,117,0.16410256410256413,0.3399953190503176,0.03143257836547842,0.0,0.0,0.0,0.0,1.0,0.10249471050622642,0.22571041769890182
qwen25coder_1p5b,retention_target,135,0.3437037037037037,0.42857058622149974,0.03688548318022707,0.0,0.0,0.8,0.0,1.0,0.2714081566704586,0.41599925073694877
qwen25coder_1p5b,drr_system,135,0.18222222222222223,0.34073377068843963,0.029325693763706303,0.0,0.0,0.2,0.0,1.0,0.12474386244535787,0.2397005819990866
qwen25coder_1p5b,irr_system,117,0.20683760683760682,0.36287323133817634,0.033547642104694894,0.0,0.0,0.4,0.0,1.0,0.14108422831240483,0.2725909853628088
qwen25coder_1p5b,retention_system,135,0.3333333333333333,0.4295085702757263,0.03696621199402769,0.0,0.0,0.8,0.0,1.0,0.260879557825039,0.4057871088416276
qwen25coder_1p5b,n_scored_probes,135,14.333333333333334,1.706003447005319,0.1468293986405344,15.0,15.0,15.0,10.0,15.0,14.045547711997887,14.62111895466878
qwen25coder_7b,drr_target,135,0.2237037037037037,0.374605744472973,0.03224092910527679,0.0,0.0,0.30000000000000004,0.0,1.0,0.1605114826573612,0.2868959247500462
qwen25coder_7b,irr_target,117,0.21196581196581196,0.3826320806805539,0.035374348372595156,0.0,0.0,0.2,0.0,1.0,0.14263208915552544,0.2812995347760985
qwen25coder_7b,retention_target,135,0.5866666666666668,0.4212277719012548,0.03625351434519148,0.8,0.2,1.0,0.0,1.0,0.5156097785500915,0.6577235547832421
qwen25coder_7b,drr_system,135,0.27111111111111114,0.4010930339591393,0.034520592017856726,0.0,0.0,0.6,0.0,1.0,0.20345075075611196,0.3387714714661103
