parameter_method,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
gradient_ascent,drr_target,100,0.606,0.4614032176880968,0.04614032176880968,1.0,0.0,1.0,0.0,1.0,0.515564969333133,0.696435030666867
gradient_ascent,irr_target,80,0.7175,0.4324715546363948,0.04835178972509965,1.0,0.30000000000000004,1.0,0.0,1.0,0.6227304921388047,0.8122695078611953
gradient_ascent,retention_target,100,0.588,0.4660775502298763,0.046607755022987626,1.0,0.0,1.0,0.0,1.0,0.4966488001549442,0.6793511998450557
gradient_ascent,drr_system,100,0.6240000000000001,0.46124994867372626,0.04612499486737263,1.0,0.0,1.0,0.0,1.0,0.5335950100599498,0.7144049899400504
gradient_ascent,irr_system,80,0.71,0.4362092170193773,0.048769673083364294,1.0,0.15000000000000002,1.0,0.0,1.0,0.6144114407566059,0.805588559243394
gradient_ascent,retention_system,100,0.612,0.45020309670506303,0.045020309670506305,1.0,0.0,1.0,0.0,1.0,0.5237601930458077,0.7002398069541923
gradient_ascent,n_scored_probes,100,14.0,2.010075630518424,0.20100756305184242,15.0,15.0,15.0,10.0,15.0,13.606025176418388,14.393974823581612
lora_grad_diff,drr_target,100,0.584,0.4728422548586346,0.04728422548586346,1.0,0.0,1.0,0.0,1.0,0.49132291804770756,0.6766770819522924
lora_grad_diff,irr_target,80,0.7150000000000001,0.4360640993411143,0.04875344843369764,1.0,0.15000000000000002,1.0,0.0,1.0,0.6194432410699527,0.8105567589300474
lora_grad_diff,retention_target,100,0.628,0.4348644279624061,0.04348644279624061,1.0,0.2,1.0,0.0,1.0,0.5427665721193684,0.7132334278806316
lora_grad_diff,drr_system,100,0.608,0.4704779431062576,0.047047794310625765,1.0,0.0,1.0,0.0,1.0,0.5157863231511735,0.7002136768488265
lora_grad_diff,irr_system,80,0.7,0.43516328959092465,0.04865273484188671,1.0,0.15000000000000002,1.0,0.0,1.0,0.604640639709902,0.7953593602900979
lora_grad_diff,retention_system,100,0.6359999999999999,0.43053173606318,0.043053173606318,1.0,0.2,1.0,0.0,1.0,0.5516157797316166,0.7203842202683832
lora_grad_diff,n_scored_probes,100,14.0,2.010075630518424,0.20100756305184242,15.0,15.0,15.0,10.0,15.0,13.606025176418388,14.393974823581612
none,drr_target,3521,0.188923601249645,0.3510082961856004,0.005915403428794665,0.0,0.0,0.2,0.0,1.0,0.17732941052920745,0.20051779197008254
none,irr_target,2965,0.22043844856661046,0.3807095398291071,0.0069916778696061796,0.0,0.0,0.2,0.0,1.0,0.20673475994218235,0.23414213719103857
none,retention_target,3485,0.4237589670014347,0.4415401878919029,0.007479435940409587,0.2,0.0,1.0,0.0,1.0,0.4090992725582319,0.43841866144463754
none,drr_system,3521,0.2874183470604942,0.41076862292992183,0.006922520484348039,0.0,0.0,0.6,0.0,1.0,0.273850206911172,0.30098648720981636
none,irr_system,2965,0.27804384485666106,0.4161956802164411,0.007643375913567021,0.0,0.0,0.6,0.0,1.0,0.2630628280660697,0.29302486164725244
none,retention_system,3485,0.38737446197991393,0.4511003501730713,0.007641379571641236,0.0,0.0,1.0,0.0,1.0,0.3723973580194971,0.4023515659403308
none,n_scored_probes,3521,14.159329735870491,2.0022441967316675,0.03374302634820918,15.0,15.0,15.0,5.0,15.0,14.093193404228002,14.225466067512981
