run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,target_id,target_name,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,status,raw_complete
AU000031,main,qwen3_4b,TOFU,tofu_forget01,scratchpad,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000032,main,qwen3_4b,TOFU,tofu_forget01,scratchpad,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000033,main,qwen3_4b,TOFU,tofu_forget01,scratchpad,target_context_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000034,main,qwen3_4b,TOFU,tofu_forget01,scratchpad,target_context_comm,none,0.0,0.2,1.0,1.0,0.8,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000035,main,qwen3_4b,TOFU,tofu_forget01,scratchpad,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000036,main,qwen3_4b,TOFU,tofu_forget01,scratchpad,full_inference,none,0.2,0.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000037,main,qwen3_4b,TOFU,tofu_forget01,hierarchical,none,none,1.0,1.0,1.0,1.0,0.8,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000038,main,qwen3_4b,TOFU,tofu_forget01,hierarchical,global_context,none,0.0,0.0,1.0,0.0,0.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000039,main,qwen3_4b,TOFU,tofu_forget01,hierarchical,target_context,none,0.0,0.0,1.0,1.0,0.2,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000040,main,qwen3_4b,TOFU,tofu_forget01,hierarchical,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000041,main,qwen3_4b,TOFU,tofu_forget01,hierarchical,communication,none,1.0,1.0,1.0,1.0,0.8,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000042,main,qwen3_4b,TOFU,tofu_forget01,hierarchical,target_context_memory,none,0.0,0.0,1.0,1.0,0.4,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000043,main,qwen3_4b,TOFU,tofu_forget01,hierarchical,target_context_comm,none,0.0,0.0,1.0,1.0,0.2,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000044,main,qwen3_4b,TOFU,tofu_forget01,hierarchical,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000045,main,qwen3_4b,TOFU,tofu_forget01,hierarchical,full_inference,none,0.0,0.0,1.0,1.0,0.4,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000046,main,qwen3_4b,TOFU,tofu_forget05,independent,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000047,main,qwen3_4b,TOFU,tofu_forget05,independent,global_context,none,0.0,1.0,1.0,0.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000048,main,qwen3_4b,TOFU,tofu_forget05,independent,target_context,none,0.0,1.0,1.0,0.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000049,main,qwen3_4b,TOFU,tofu_forget05,independent,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000050,main,qwen3_4b,TOFU,tofu_forget05,independent,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000051,main,qwen3_4b,TOFU,tofu_forget05,independent,target_context_memory,none,0.0,1.0,1.0,0.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000052,main,qwen3_4b,TOFU,tofu_forget05,independent,target_context_comm,none,0.0,1.0,1.0,0.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000053,main,qwen3_4b,TOFU,tofu_forget05,independent,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000054,main,qwen3_4b,TOFU,tofu_forget05,independent,full_inference,none,0.0,1.0,1.0,0.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000055,main,qwen3_4b,TOFU,tofu_forget05,sequential,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000056,main,qwen3_4b,TOFU,tofu_forget05,sequential,global_context,none,0.0,0.8,1.0,0.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000057,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_context,none,0.8,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000058,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_memory,none,1.0,1.0,1.0,0.8,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000059,main,qwen3_4b,TOFU,tofu_forget05,sequential,communication,none,0.4,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000060,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_context_memory,none,0.8,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000061,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_context_comm,none,0.0,0.6,1.0,0.8,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000062,main,qwen3_4b,TOFU,tofu_forget05,sequential,target_memory_comm,none,0.4,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000063,main,qwen3_4b,TOFU,tofu_forget05,sequential,full_inference,none,0.2,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000064,main,qwen3_4b,TOFU,tofu_forget05,debate,none,none,0.8,1.0,0.6,0.8,1.0,0.6,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000065,main,qwen3_4b,TOFU,tofu_forget05,debate,global_context,none,0.0,1.0,0.4,0.0,1.0,0.4,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000066,main,qwen3_4b,TOFU,tofu_forget05,debate,target_context,none,0.4,0.6,0.4,0.8,1.0,0.8,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000067,main,qwen3_4b,TOFU,tofu_forget05,debate,target_memory,none,1.0,1.0,0.6,0.6,1.0,0.8,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000068,main,qwen3_4b,TOFU,tofu_forget05,debate,communication,none,0.8,0.6,0.6,0.8,1.0,0.6,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000069,main,qwen3_4b,TOFU,tofu_forget05,debate,target_context_memory,none,0.6,0.6,0.4,0.6,0.8,0.6,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000070,main,qwen3_4b,TOFU,tofu_forget05,debate,target_context_comm,none,0.0,0.4,0.4,0.8,0.8,0.8,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000071,main,qwen3_4b,TOFU,tofu_forget05,debate,target_memory_comm,none,0.8,1.0,0.6,0.8,1.0,0.8,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000072,main,qwen3_4b,TOFU,tofu_forget05,debate,full_inference,none,0.2,0.2,0.4,0.2,0.8,0.6,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000073,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000074,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,global_context,none,0.2,1.0,1.0,0.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000075,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_context,none,0.8,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000076,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000077,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000078,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_context_memory,none,1.0,0.8,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000079,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_context_comm,none,0.2,1.0,1.0,0.6,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000080,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000081,main,qwen3_4b,TOFU,tofu_forget05,scratchpad,full_inference,none,0.0,1.0,1.0,0.6,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000082,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000083,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,global_context,none,0.0,1.0,1.0,0.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000084,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_context,none,0.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000085,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000086,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000087,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_context_memory,none,0.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000088,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_context_comm,none,0.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000089,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000090,main,qwen3_4b,TOFU,tofu_forget05,hierarchical,full_inference,none,0.0,1.0,1.0,1.0,1.0,1.0,15,forget05,forget05,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000091,main,qwen3_4b,TOFU,tofu_forget10,independent,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000092,main,qwen3_4b,TOFU,tofu_forget10,independent,global_context,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000093,main,qwen3_4b,TOFU,tofu_forget10,independent,target_context,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000094,main,qwen3_4b,TOFU,tofu_forget10,independent,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000095,main,qwen3_4b,TOFU,tofu_forget10,independent,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000096,main,qwen3_4b,TOFU,tofu_forget10,independent,target_context_memory,none,0.0,0.0,1.0,0.0,0.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000097,main,qwen3_4b,TOFU,tofu_forget10,independent,target_context_comm,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000098,main,qwen3_4b,TOFU,tofu_forget10,independent,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000099,main,qwen3_4b,TOFU,tofu_forget10,independent,full_inference,none,0.0,0.0,1.0,0.0,0.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000100,main,qwen3_4b,TOFU,tofu_forget10,sequential,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000101,main,qwen3_4b,TOFU,tofu_forget10,sequential,global_context,none,0.0,0.0,1.0,0.0,0.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000102,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_context,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000103,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000104,main,qwen3_4b,TOFU,tofu_forget10,sequential,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000105,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_context_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000106,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_context_comm,none,0.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000107,main,qwen3_4b,TOFU,tofu_forget10,sequential,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000108,main,qwen3_4b,TOFU,tofu_forget10,sequential,full_inference,none,0.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000109,main,qwen3_4b,TOFU,tofu_forget10,debate,none,none,1.0,1.0,0.4,1.0,1.0,0.4,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000110,main,qwen3_4b,TOFU,tofu_forget10,debate,global_context,none,0.2,0.0,0.2,0.2,0.0,0.2,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000111,main,qwen3_4b,TOFU,tofu_forget10,debate,target_context,none,0.8,1.0,0.4,1.0,1.0,0.4,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000112,main,qwen3_4b,TOFU,tofu_forget10,debate,target_memory,none,1.0,1.0,0.2,0.6,1.0,0.2,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000113,main,qwen3_4b,TOFU,tofu_forget10,debate,communication,none,1.0,1.0,0.4,1.0,1.0,0.4,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000114,main,qwen3_4b,TOFU,tofu_forget10,debate,target_context_memory,none,0.8,1.0,0.4,1.0,1.0,0.4,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000115,main,qwen3_4b,TOFU,tofu_forget10,debate,target_context_comm,none,0.0,1.0,0.4,1.0,1.0,0.4,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000116,main,qwen3_4b,TOFU,tofu_forget10,debate,target_memory_comm,none,1.0,1.0,0.2,1.0,1.0,0.2,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000117,main,qwen3_4b,TOFU,tofu_forget10,debate,full_inference,none,0.0,1.0,0.4,1.0,1.0,0.4,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000118,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000119,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,global_context,none,0.0,0.0,0.6,0.0,0.0,0.6,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000120,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_context,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000121,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000122,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,communication,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000123,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_context_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000124,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_context_comm,none,0.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000125,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,target_memory_comm,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000126,main,qwen3_4b,TOFU,tofu_forget10,scratchpad,full_inference,none,0.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000127,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,none,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000128,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,global_context,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000129,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,target_context,none,0.0,0.0,0.8,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
AU000130,main,qwen3_4b,TOFU,tofu_forget10,hierarchical,target_memory,none,1.0,1.0,1.0,1.0,1.0,1.0,15,forget10,forget10,4,4,2,2,1.0,0.5,0.0,42,pending,True
