model_id,topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
mistral_7b,debate,communication,drr_target,15,0.13333333333333333,0.35186577527449836,0.09085135251589957,0.0,0.0,0.0,0.0,1.0,-0.04473531759782981,0.3114019842644965
mistral_7b,debate,communication,irr_target,13,0.18461538461538465,0.36019937499055954,0.09990133199373413,0.0,0.0,0.0,0.0,1.0,-0.01119122609233425,0.38042199532310356
mistral_7b,debate,communication,retention_target,15,0.14666666666666667,0.30674947122242613,0.07920237290015918,0.0,0.0,0.0,0.0,0.8,-0.008569984217645321,0.30190331755097866
mistral_7b,debate,communication,drr_system,15,0.16,0.35617010382279823,0.09196272536817761,0.0,0.0,0.0,0.0,1.0,-0.02024694172162811,0.3402469417216281
mistral_7b,debate,communication,irr_system,13,0.2,0.3829708431025353,0.1062170009087589,0.0,0.0,0.0,0.0,1.0,-0.008185321781167404,0.4081853217811674
mistral_7b,debate,communication,retention_system,15,0.14666666666666667,0.30674947122242613,0.07920237290015918,0.0,0.0,0.0,0.0,0.8,-0.008569984217645321,0.30190331755097866
mistral_7b,debate,communication,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
mistral_7b,debate,full_inference,drr_target,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral_7b,debate,full_inference,irr_target,13,0.0923076923076923,0.27827306272059,0.07717906124765338,0.0,0.0,0.0,0.0,1.0,-0.05896326773770831,0.2435786523530929
mistral_7b,debate,full_inference,retention_target,15,0.13333333333333333,0.31773004414499567,0.08203754463755437,0.0,0.0,0.0,0.0,1.0,-0.027460254156273234,0.2941269208229399
mistral_7b,debate,full_inference,drr_system,17,0.15294117647058827,0.3203857968504993,0.07770496949189944,0.0,0.0,0.0,0.0,1.0,0.0006394362664653708,0.30524291667471115
mistral_7b,debate,full_inference,irr_system,13,0.15384615384615385,0.33817003764227005,0.09379149311883016,0.0,0.0,0.0,0.0,1.0,-0.02998517266675324,0.337677480359061
mistral_7b,debate,full_inference,retention_system,15,0.17333333333333334,0.3534860406754148,0.09126970324351193,0.0,0.0,0.1,0.0,1.0,-0.0055552850239500295,0.3522219516906167
mistral_7b,debate,full_inference,n_scored_probes,17,13.235294117647058,3.509441048171095,0.85116447814634,15.0,15.0,15.0,5.0,15.0,11.567011740480233,14.903576494813883
mistral_7b,debate,global_context,drr_target,15,0.013333333333333334,0.051639777949432225,0.013333333333333332,0.0,0.0,0.0,0.0,0.2,-0.012799999999999997,0.039466666666666664
mistral_7b,debate,global_context,irr_target,13,0.07692307692307693,0.22417941532712204,0.06217618283580587,0.0,0.0,0.0,0.0,0.8,-0.04494224143510259,0.19878839528125644
mistral_7b,debate,global_context,retention_target,15,0.14666666666666667,0.324844285041017,0.08387443373830092,0.0,0.0,0.0,0.0,1.0,-0.01772722346040312,0.31106055679373645
mistral_7b,debate,global_context,drr_system,15,0.013333333333333334,0.051639777949432225,0.013333333333333332,0.0,0.0,0.0,0.0,0.2,-0.012799999999999997,0.039466666666666664
mistral_7b,debate,global_context,irr_system,13,0.07692307692307693,0.22417941532712204,0.06217618283580587,0.0,0.0,0.0,0.0,0.8,-0.04494224143510259,0.19878839528125644
mistral_7b,debate,global_context,retention_system,15,0.14666666666666667,0.324844285041017,0.08387443373830092,0.0,0.0,0.0,0.0,1.0,-0.01772722346040312,0.31106055679373645
mistral_7b,debate,global_context,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
mistral_7b,debate,none,drr_target,17,0.11764705882352941,0.3321055820775357,0.08054743492723031,0.0,0.0,0.0,0.0,1.0,-0.04022591363384198,0.2755200312809008
mistral_7b,debate,none,irr_target,13,0.16923076923076924,0.3449265994010305,0.09566542618552631,0.0,0.0,0.0,0.0,1.0,-0.018273466092862345,0.3567350045544008
mistral_7b,debate,none,retention_target,15,0.14666666666666667,0.30674947122242613,0.07920237290015918,0.0,0.0,0.0,0.0,0.8,-0.008569984217645321,0.30190331755097866
mistral_7b,debate,none,drr_system,17,0.11764705882352941,0.3321055820775357,0.08054743492723031,0.0,0.0,0.0,0.0,1.0,-0.04022591363384198,0.2755200312809008
mistral_7b,debate,none,irr_system,13,0.16923076923076924,0.3449265994010305,0.09566542618552631,0.0,0.0,0.0,0.0,1.0,-0.018273466092862345,0.3567350045544008
mistral_7b,debate,none,retention_system,15,0.14666666666666667,0.30674947122242613,0.07920237290015918,0.0,0.0,0.0,0.0,0.8,-0.008569984217645321,0.30190331755097866
mistral_7b,debate,none,n_scored_probes,17,13.235294117647058,3.509441048171095,0.85116447814634,15.0,15.0,15.0,5.0,15.0,11.567011740480233,14.903576494813883
mistral_7b,debate,target_context,drr_target,15,0.17333333333333334,0.3534860406754148,0.09126970324351193,0.0,0.0,0.1,0.0,1.0,-0.0055552850239500295,0.3522219516906167
mistral_7b,debate,target_context,irr_target,13,0.15384615384615385,0.33817003764227005,0.09379149311883016,0.0,0.0,0.0,0.0,1.0,-0.02998517266675324,0.337677480359061
mistral_7b,debate,target_context,retention_target,15,0.16000000000000003,0.3312314684843301,0.08552359741197582,0.0,0.0,0.0,0.0,0.8,-0.007626250927472572,0.32762625092747266
mistral_7b,debate,target_context,drr_system,15,0.17333333333333334,0.3692979181920099,0.09535231246311489,0.0,0.0,0.0,0.0,1.0,-0.013557199094371836,0.3602238657610385
mistral_7b,debate,target_context,irr_system,13,0.15384615384615385,0.31784530990033655,0.08815442788549273,0.0,0.0,0.0,0.0,1.0,-0.01893652480941188,0.3266288325017196
mistral_7b,debate,target_context,retention_system,15,0.14666666666666667,0.324844285041017,0.08387443373830092,0.0,0.0,0.0,0.0,1.0,-0.01772722346040312,0.31106055679373645
mistral_7b,debate,target_context,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
mistral_7b,debate,target_context_comm,drr_target,15,0.013333333333333334,0.051639777949432225,0.013333333333333332,0.0,0.0,0.0,0.0,0.2,-0.012799999999999997,0.039466666666666664
mistral_7b,debate,target_context_comm,irr_target,13,0.07692307692307693,0.2773500981126146,0.07692307692307693,0.0,0.0,0.0,0.0,1.0,-0.07384615384615384,0.2276923076923077
mistral_7b,debate,target_context_comm,retention_target,15,0.12000000000000001,0.2808151400069855,0.07250615737399725,0.0,0.0,0.0,0.0,0.8,-0.02211206845303461,0.26211206845303464
mistral_7b,debate,target_context_comm,drr_system,15,0.18666666666666668,0.36619016657365083,0.09454989444564464,0.0,0.0,0.1,0.0,1.0,0.0013488735532031781,0.37198445978013017
mistral_7b,debate,target_context_comm,irr_system,13,0.15384615384615385,0.31784530990033655,0.08815442788549273,0.0,0.0,0.0,0.0,1.0,-0.01893652480941188,0.3266288325017196
mistral_7b,debate,target_context_comm,retention_system,15,0.14666666666666667,0.324844285041017,0.08387443373830092,0.0,0.0,0.0,0.0,1.0,-0.01772722346040312,0.31106055679373645
mistral_7b,debate,target_context_comm,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
mistral_7b,debate,target_context_memory,drr_target,17,0.1647058823529412,0.3408466966074855,0.08266746660326585,0.0,0.0,0.0,0.0,1.0,0.0026776478105401402,0.32673411689534226
