unit_id,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
muse_books,drr_target,177,0.021468926553672316,0.08655063149998221,0.006505543838809815,0.0,0.0,0.0,0.0,0.6,0.008718060629605078,0.034219792477739555
muse_books,retention_target,177,0.08135593220338984,0.21251302869513014,0.015973457391754577,0.0,0.0,0.0,0.0,1.0,0.05004795571555087,0.1126639086912288
muse_books,drr_system,177,0.08361581920903956,0.16859185983574718,0.012672140179914903,0.0,0.0,0.0,0.0,0.8,0.05877842445640635,0.10845321396167276
muse_books,retention_system,177,0.04745762711864407,0.1705831564110467,0.012821815196054855,0.0,0.0,0.0,0.0,1.0,0.022326869334376553,0.07258838490291158
muse_books,n_scored_probes,177,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
muse_news,drr_target,383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muse_news,retention_target,383,0.0349869451697128,0.10195953070911855,0.00520988864497239,0.0,0.0,0.0,0.0,0.6,0.024775563425566915,0.04519832691385868
muse_news,drr_system,383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muse_news,retention_system,383,0.06527415143603134,0.1767074238663288,0.009029327564384083,0.0,0.0,0.0,0.0,0.8,0.04757666940983854,0.08297163346222414
muse_news,n_scored_probes,383,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
rwku_001,drr_target,383,0.07571801566579635,0.20672070305726978,0.010562934490266934,0.0,0.0,0.0,0.0,1.0,0.05501466406487315,0.09642136726671954
rwku_001,irr_target,383,0.0010443864229765013,0.01443365807482521,0.0007375254749257173,0.0,0.0,0.0,0.0,0.2,-0.0004011635078779046,0.002489936353830907
rwku_001,retention_target,383,0.09190600522193212,0.20949270949208482,0.010704577402391889,0.0,0.0,0.0,0.0,1.0,0.07092503351324403,0.11288697693062022
rwku_001,drr_system,383,0.08616187989556136,0.20463642873920904,0.010456433047712717,0.0,0.0,0.0,0.0,1.0,0.06566727112204443,0.10665648866907829
rwku_001,irr_system,383,0.0005221932114882506,0.01021952260615192,0.0005221932114882507,0.0,0.0,0.0,0.0,0.2,-0.0005013054830287207,0.0015456919060052219
rwku_001,retention_system,383,0.05117493472584857,0.1678082556937765,0.008574601312807354,0.0,0.0,0.0,0.0,1.0,0.03436871615274616,0.06798115329895098
rwku_001,n_scored_probes,383,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rwku_023,drr_target,177,0.0632768361581921,0.20795677319386827,0.015630988256745623,0.0,0.0,0.0,0.0,1.0,0.03264009917497068,0.09391357314141352
rwku_023,irr_target,177,0.023728813559322035,0.06485731643081673,0.004874974428214601,0.0,0.0,0.0,0.0,0.2,0.014173863680021418,0.03328376343862265
rwku_023,retention_target,177,0.5378531073446328,0.4089647696873206,0.030739674472856623,0.6,0.2,1.0,0.0,1.0,0.4776033453778338,0.5981028693114318
rwku_023,drr_system,177,0.05875706214689266,0.17367888593203465,0.013054504475877023,0.0,0.0,0.0,0.0,1.0,0.03317023337417369,0.08434389091961161
rwku_023,irr_system,177,0.0384180790960452,0.08456966809795492,0.006356645511534537,0.0,0.0,0.0,0.0,0.4,0.025959053893437507,0.05087710429865289
rwku_023,retention_system,177,0.32542372881355935,0.3900436544648428,0.029317476362620692,0.2,0.0,0.6,0.0,1.0,0.2679614751428228,0.3828859824842959
rwku_023,n_scored_probes,177,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rwku_045,drr_target,177,0.43615819209039547,0.3926062940221461,0.02951009614706569,0.4,0.0,0.8,0.0,1.0,0.37831840364214675,0.4939979805386442
rwku_045,irr_target,177,0.01694915254237288,0.07646867088630903,0.005747737273834974,0.0,0.0,0.0,0.0,0.6,0.005683587485656333,0.02821471759908943
rwku_045,retention_target,177,0.36045197740112994,0.4258892024195318,0.03201179273679339,0.0,0.0,0.8,0.0,1.0,0.2977088636370149,0.423195091165245
rwku_045,drr_system,177,0.48135593220338985,0.38397202324896595,0.028861104613929513,0.4,0.2,0.8,0.0,1.0,0.424788167160088,0.5379236972466916
rwku_045,irr_system,177,0.02824858757062147,0.10603272067200457,0.007969907333144568,0.0,0.0,0.0,0.0,0.6,0.012627569197658117,0.04386960594358482
rwku_045,retention_system,177,0.26666666666666666,0.3865151218179432,0.029052255607748653,0.0,0.0,0.6,0.0,1.0,0.20972424567547931,0.323609087657854
rwku_045,n_scored_probes,177,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rwku_067,drr_target,177,0.10621468926553673,0.2306508065360422,0.017336776258846505,0.0,0.0,0.2,0.0,1.0,0.07223460779819758,0.1401947707328759
rwku_067,irr_target,177,0.053107344632768366,0.16412285726033207,0.012336229376420385,0.0,0.0,0.0,0.0,1.0,0.028928335054984412,0.07728635421055233
rwku_067,retention_target,177,0.15480225988700563,0.2895766706360892,0.021765915428589987,0.0,0.0,0.2,0.0,1.0,0.11214106564696927,0.197463454127042
rwku_067,drr_system,177,0.05875706214689266,0.1571935430100335,0.011815390223118352,0.0,0.0,0.0,0.0,0.8,0.035598897309580685,0.08191522698420463
rwku_067,irr_system,177,0.06327683615819209,0.18846417906311327,0.0141658351613603,0.0,0.0,0.0,0.0,1.0,0.0355117992419259,0.09104187307445827
rwku_067,retention_system,177,0.1322033898305085,0.2898514576269089,0.021786569683609633,0.0,0.0,0.0,0.0,1.0,0.08950171325063362,0.1749050664103834
rwku_067,n_scored_probes,177,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rwku_089,drr_target,177,0.06779661016949153,0.17166366226720556,0.012903030989556415,0.0,0.0,0.0,0.0,1.0,0.04250666942996095,0.0930865509090221
rwku_089,irr_target,177,0.03954802259887006,0.1430822205183231,0.010754718273042242,0.0,0.0,0.0,0.0,1.0,0.018468774783707266,0.060627270414032854
rwku_089,retention_target,177,0.5740112994350283,0.4332780178830773,0.03256717011627537,0.8,0.0,1.0,0.0,1.0,0.5101796460071285,0.637842952862928
rwku_089,drr_system,177,0.053107344632768366,0.11727955530900153,0.008815271191394908,0.0,0.0,0.0,0.0,0.6,0.03582941309763435,0.07038527616790238
rwku_089,irr_system,177,0.024858757062146894,0.08429592991787359,0.006336070089957451,0.0,0.0,0.0,0.0,0.6,0.01244005968583029,0.037277454438463496
rwku_089,retention_system,177,0.48700564971751414,0.4470872461273275,0.03360513527223288,0.4,0.0,1.0,0.0,1.0,0.4211395845839377,0.5528717148510907
rwku_089,n_scored_probes,177,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rwku_112,drr_target,177,0.06779661016949153,0.1755905729434971,0.013198195670772057,0.0,0.0,0.0,0.0,1.0,0.041928146654778294,0.09366507368420476
rwku_112,irr_target,177,0.025988700564971753,0.1167858368543855,0.008778161039858524,0.0,0.0,0.0,0.0,1.0,0.008783504926849046,0.04319389620309446
rwku_112,retention_target,177,0.0655367231638418,0.18647102521844922,0.014016020544306269,0.0,0.0,0.0,0.0,1.0,0.03806532289700152,0.0930081234306821
rwku_112,drr_system,177,0.10056497175141244,0.18844373863221536,0.01416429876449079,0.0,0.0,0.2,0.0,1.0,0.07280294617301049,0.1283269973298144
rwku_112,irr_system,177,0.02033898305084746,0.060620825114776386,0.00455654024117758,0.0,0.0,0.0,0.0,0.2,0.011408164178139403,0.029269801923555515
rwku_112,retention_system,177,0.022598870056497175,0.07940132955486079,0.005968169397805474,0.0,0.0,0.0,0.0,0.4,0.010901258036798447,0.0342964820761959
rwku_112,n_scored_probes,177,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rwku_134,drr_target,177,0.04519774011299435,0.1602274320922104,0.012043431290920295,0.0,0.0,0.0,0.0,1.0,0.02159261478279057,0.06880286544319814
rwku_134,irr_target,177,0.1322033898305085,0.2565775697652185,0.01928555111886452,0.0,0.0,0.2,0.0,1.0,0.09440370963753404,0.17000307002348297
rwku_134,retention_target,177,0.08587570621468926,0.18669812267061334,0.01403309023409514,0.0,0.0,0.2,0.0,1.0,0.058370849355862786,0.11338056307351574
rwku_134,drr_system,177,0.012429378531073447,0.06451987745294778,0.004849610961473748,0.0,0.0,0.0,0.0,0.4,0.0029241410465849025,0.021934616015561993
rwku_134,irr_system,177,0.14124293785310735,0.2614310111681682,0.019650358114131683,0.0,0.0,0.2,0.0,1.0,0.10272823594940925,0.17975763975680545
rwku_134,retention_system,177,0.0327683615819209,0.09798954903761824,0.007365345531991417,0.0,0.0,0.0,0.0,0.6,0.018332284339217728,0.04720443882462408
rwku_134,n_scored_probes,177,15.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
rwku_156,drr_target,177,0.036158192090395475,0.10248579642779855,0.007703304181166129,0.0,0.0,0.0,0.0,0.6,0.02105971589530986,0.05125666828548109
rwku_156,irr_target,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rwku_156,retention_target,177,0.3389830508474576,0.3992963765200019,0.030012953540718142,0.2,0.0,0.8,0.0,1.0,0.28015766190765007,0.39780843978726516
rwku_156,drr_system,177,0.04067796610169492,0.09848623127313386,0.0074026784549419055,0.0,0.0,0.0,0.0,0.4,0.026168716330008786,0.05518721587338105
